"p","callret-1"
"http://es.dbpedia.org/property/luganac",2
"http://es.dbpedia.org/property/vuelta",1
"http://es.dbpedia.org/property/urlmorto",1
"http://es.dbpedia.org/property/padrse",2
"http://es.dbpedia.org/property/commands",1
"http://es.dbpedia.org/property/autores",1
"http://es.dbpedia.org/property/branch",1
"http://es.dbpedia.org/property/nombreEnEspañol",3
"http://es.dbpedia.org/property/precedesor",1
"http://es.dbpedia.org/property/fechaDeFalleciemiento",1
"http://es.dbpedia.org/property/caption",14
"http://es.dbpedia.org/property/posiciónTítulo",3
"http://es.dbpedia.org/property/añoPredecesores",1
"http://es.dbpedia.org/property/website",41
"http://es.dbpedia.org/property/cargoOcupado",63
"http://es.dbpedia.org/property/2y",17
"http://es.dbpedia.org/property/ancho",55
"http://es.dbpedia.org/property/objeto",1
"http://es.dbpedia.org/property/otrosPartidos",1
"http://es.dbpedia.org/property/fechaNac",1
"http://es.dbpedia.org/property/nacionality",1
"http://es.dbpedia.org/property/nombradoPor",1
"http://es.dbpedia.org/property/escalafón",1
"http://es.dbpedia.org/property/tituloDeGrado",1
"http://es.dbpedia.org/property/misiones",1
"http://es.dbpedia.org/property/formato",25
"http://es.dbpedia.org/property/nativeNameLang",1
"http://es.dbpedia.org/property/preposición",2
"http://es.dbpedia.org/property/fórmula",69
"http://es.dbpedia.org/property/gobernadora",1
"http://es.dbpedia.org/property/nationalidad",5
"http://es.dbpedia.org/property/datos",37
"http://es.dbpedia.org/property/añoOriginal",65
"http://es.dbpedia.org/property/sucesivo",1
"http://es.dbpedia.org/property/party",1
"http://es.dbpedia.org/property/cargosOcupados",1
"http://es.dbpedia.org/property/ramaño",1
"http://es.dbpedia.org/property/primeraaparicion",3
"http://dbpedia.org/ontology/occupation",625
"http://es.dbpedia.org/property/height",2
"http://es.dbpedia.org/property/acrónimo",1
"http://es.dbpedia.org/property/chapter",3
"http://es.dbpedia.org/property/raza",4
"http://es.dbpedia.org/property/embajador",2
"http://es.dbpedia.org/property/cargoAnterior",1
"http://es.dbpedia.org/property/sv",1
"http://es.dbpedia.org/property/fecha",324
"http://es.dbpedia.org/property/author",25
"http://es.dbpedia.org/property/partido",3499
"http://es.dbpedia.org/property/fechamue",1
"http://es.dbpedia.org/property/títulos",101
"http://es.dbpedia.org/property/primerministro",1113
"http://es.dbpedia.org/property/última",2
"http://es.dbpedia.org/property/premiosAtv",1
"http://es.dbpedia.org/property/rama",103
"http://es.dbpedia.org/property/cargoActual",1
"http://es.dbpedia.org/property/serie",81
"http://es.dbpedia.org/property/pseudónimo",1
"http://es.dbpedia.org/property/c",9
"http://es.dbpedia.org/property/colwidth",2
"http://dbpedia.org/ontology/abstract",22782
"http://es.dbpedia.org/property/imagenBandera",3
"http://es.dbpedia.org/property/influencias",18
"http://es.dbpedia.org/property/fechaDeFallecimietno",1
"http://es.dbpedia.org/property/fechafal",2
"http://es.dbpedia.org/property/estandartePresidencial",1
"http://es.dbpedia.org/property/deathDate",1
"http://es.dbpedia.org/property/períodoDeActividad",1
"http://es.dbpedia.org/property/afiliaciónPolítica",2
"http://es.dbpedia.org/property/type",1
"http://es.dbpedia.org/property/poles",1
"http://es.dbpedia.org/property/fundador",1
"http://es.dbpedia.org/property/obispo",1
"http://es.dbpedia.org/property/bandera",2
"http://es.dbpedia.org/property/dirección",2
"http://es.dbpedia.org/property/mandato",5
"http://es.dbpedia.org/property/listas",1
"http://es.dbpedia.org/property/tamañoImagen",11
"http://es.dbpedia.org/property/vicerectorextension",2
"http://es.dbpedia.org/property/página",189
"http://es.dbpedia.org/property/ocupaciión",3
"http://es.dbpedia.org/property/esposa",16
"http://es.dbpedia.org/property/contenido",1
"http://es.dbpedia.org/property/nombreDeNacimiento",787
"http://es.dbpedia.org/property/pedroPreciado",1
"http://es.dbpedia.org/property/partidos",5
"http://es.dbpedia.org/property/vicealcalde",26
"http://es.dbpedia.org/property/fechaDeMuerte",10
"http://es.dbpedia.org/property/conyugue",3
"http://es.dbpedia.org/property/primerMinistro",19
"http://es.dbpedia.org/property/nieta",1
