residuos_domestic_año,residuos_domestic_ambito,residuos_domestic_tipo,residuos_domestic_cantidad_ton
2013,Comunidad de Madrid,"Residuos de recogida de bolsa resto, limpieza urbana,  mercados y parques y jardines (t)",2050964
2013,Comunidad de Madrid,Envases (t),122336
2013,Comunidad de Madrid,Papel y cartón (t),91712
2013,Comunidad de Madrid,Vidrio (t),78406
2013,Comunidad de Madrid,Residuos industriales asimilables a urbanos (particulares) (t),183070
2013,Comunidad de Madrid,Residuos voluminosos y de puntos limpios (t),187600
2013,Comunidad de Madrid,Otros residuos (t),10467
2014,Comunidad de Madrid,"Residuos de recogida de bolsa resto, limpieza urbana, mercados y parques y jardines (t)",2056990
2014,Comunidad de Madrid,Envases (t),124068
2014,Comunidad de Madrid,Papel y cartón (t),84198
2014,Comunidad de Madrid,Vidrio (t),77215
2014,Comunidad de Madrid,Residuos industriales asimilables a urbanos (particulares) (t),141106
2014,Comunidad de Madrid,Residuos voluminosos y de puntos limpios (t),172282
2014,Comunidad de Madrid,Otros residuos (t),2196
2015,Comunidad de Madrid,"Residuos de recogida de bolsa resto, limpieza urbana, mercados y parques y jardines (t)",2116519
2015,Comunidad de Madrid,Envases (t),130984
2015,Comunidad de Madrid,Papel y cartón (t),81423
2015,Comunidad de Madrid,Vidrio (t),77952
2015,Comunidad de Madrid,Residuos industriales asimilables a urbanos (particulares) (t),216202
2015,Comunidad de Madrid,Residuos voluminosos y de puntos limpios (t),180369
2015,Comunidad de Madrid,Otros residuos (t),2302
2016,Comunidad de Madrid,"Residuos de recogida de bolsa resto, limpieza urbana, mercados y parques y jardines (t)",2100282
2016,Comunidad de Madrid,Envases (t),131604
2016,Comunidad de Madrid,Papel y cartón (t),85194
2016,Comunidad de Madrid,Vidrio (t),81536
2016,Comunidad de Madrid,Residuos industriales asimilables a urbanos (particulares) (t),189152
2016,Comunidad de Madrid,Residuos voluminosos y de puntos limpios (t),181328
2016,Comunidad de Madrid,Otros residuos (t),2195
2017,Comunidad de Madrid,"Residuos de recogida de bolsa resto, limpieza urbana, mercados y parques y jardines (t)",2146756
2017,Comunidad de Madrid,Envases (t),140839
2017,Comunidad de Madrid,Papel y cartón (t),92933
2017,Comunidad de Madrid,Vidrio (t),87602
2017,Comunidad de Madrid,Residuos industriales asimilables a urbanos (particulares) (t),157536
2017,Comunidad de Madrid,Residuos voluminosos y de puntos limpios (t),192729
2017,Comunidad de Madrid,Otros residuos (t),23739
