vidrio_municipio_nombre,wikidata:vidrio_municipio_nombre,vidrio_año,vidrio_indicador_descripcion,vidrio_indicador_unidades,vidrio_indicador_valor
La Acebeda,https://www.wikidata.org/wiki/Q1621071,2013,habitantes,número,67
La Acebeda,https://www.wikidata.org/wiki/Q1621071,2013,contenedores,unidades,2
La Acebeda,https://www.wikidata.org/wiki/Q1621071,2013,vidrio recogido,kg,4213
Ajalvir,https://www.wikidata.org/wiki/Q855674,2013,habitantes,número,4261
Ajalvir,https://www.wikidata.org/wiki/Q855674,2013,contenedores,unidades,33
Ajalvir,https://www.wikidata.org/wiki/Q855674,2013,vidrio recogido,kg,90679
Alameda del Valle,https://www.wikidata.org/wiki/Q1648402,2013,habitantes,número,248
Alameda del Valle,https://www.wikidata.org/wiki/Q1648402,2013,contenedores,unidades,5
Alameda del Valle,https://www.wikidata.org/wiki/Q1648402,2013,vidrio recogido,kg,7355
El Álamo,https://www.wikidata.org/wiki/Q1984836,2013,habitantes,número,8845
El Álamo,https://www.wikidata.org/wiki/Q1984836,2013,contenedores,unidades,45
El Álamo,https://www.wikidata.org/wiki/Q1984836,2013,vidrio recogido,kg,62696
Alcalá de Henares,https://www.wikidata.org/wiki/Q46940,2013,habitantes,número,204823
Alcalá de Henares,https://www.wikidata.org/wiki/Q46940,2013,contenedores,unidades,610
Alcalá de Henares,https://www.wikidata.org/wiki/Q46940,2013,vidrio recogido,kg,1956609
Alcobendas,https://www.wikidata.org/wiki/Q487679,2013,habitantes,número,112196
Alcobendas,https://www.wikidata.org/wiki/Q487679,2013,contenedores,unidades,260
Alcobendas,https://www.wikidata.org/wiki/Q487679,2013,vidrio recogido,kg,2379008
Alcorcón,https://www.wikidata.org/wiki/Q10372,2013,habitantes,número,169773
Alcorcón,https://www.wikidata.org/wiki/Q10372,2013,contenedores,unidades,474
Alcorcón,https://www.wikidata.org/wiki/Q10372,2013,vidrio recogido,kg,2088214
Aldea del Fresno,https://www.wikidata.org/wiki/Q607467,2013,habitantes,número,2574
Aldea del Fresno,https://www.wikidata.org/wiki/Q607467,2013,contenedores,unidades,15
Aldea del Fresno,https://www.wikidata.org/wiki/Q607467,2013,vidrio recogido,kg,34474
Algete,https://www.wikidata.org/wiki/Q472604,2013,habitantes,número,20136
Algete,https://www.wikidata.org/wiki/Q472604,2013,contenedores,unidades,107
Algete,https://www.wikidata.org/wiki/Q472604,2013,vidrio recogido,kg,340574
Alpedrete,https://www.wikidata.org/wiki/Q947926,2013,habitantes,número,13996
Alpedrete,https://www.wikidata.org/wiki/Q947926,2013,contenedores,unidades,71
Alpedrete,https://www.wikidata.org/wiki/Q947926,2013,vidrio recogido,kg,183939
Ambite,https://www.wikidata.org/wiki/Q457605,2013,habitantes,número,586
Ambite,https://www.wikidata.org/wiki/Q457605,2013,contenedores,unidades,6
Ambite,https://www.wikidata.org/wiki/Q457605,2013,vidrio recogido,kg,8459
Anchuelo,https://www.wikidata.org/wiki/Q1647116,2013,habitantes,número,1209
Anchuelo,https://www.wikidata.org/wiki/Q1647116,2013,contenedores,unidades,11
Anchuelo,https://www.wikidata.org/wiki/Q1647116,2013,vidrio recogido,kg,16134
Aranjuez,https://www.wikidata.org/wiki/Q486792,2013,habitantes,número,57728
Aranjuez,https://www.wikidata.org/wiki/Q486792,2013,contenedores,unidades,254
Aranjuez,https://www.wikidata.org/wiki/Q486792,2013,vidrio recogido,kg,578669
Arganda del Rey,https://www.wikidata.org/wiki/Q497692,2013,habitantes,número,55981
Arganda del Rey,https://www.wikidata.org/wiki/Q497692,2013,contenedores,unidades,185
Arganda del Rey,https://www.wikidata.org/wiki/Q497692,2013,vidrio recogido,kg,377966
Arroyomolinos,https://www.wikidata.org/wiki/Q1778172,2013,habitantes,número,24313
Arroyomolinos,https://www.wikidata.org/wiki/Q1778172,2013,contenedores,unidades,105
Arroyomolinos,https://www.wikidata.org/wiki/Q1778172,2013,vidrio recogido,kg,180453
El Atazar,https://www.wikidata.org/wiki/Q1772153,2013,habitantes,número,103
El Atazar,https://www.wikidata.org/wiki/Q1772153,2013,contenedores,unidades,5
El Atazar,https://www.wikidata.org/wiki/Q1772153,2013,vidrio recogido,kg,4670
Batres,https://www.wikidata.org/wiki/Q1647095,2013,habitantes,número,1558
Batres,https://www.wikidata.org/wiki/Q1647095,2013,contenedores,unidades,18
Batres,https://www.wikidata.org/wiki/Q1647095,2013,vidrio recogido,kg,22727
Becerril de la Sierra,https://www.wikidata.org/wiki/Q655675,2013,habitantes,número,5388
Becerril de la Sierra,https://www.wikidata.org/wiki/Q655675,2013,contenedores,unidades,44
Becerril de la Sierra,https://www.wikidata.org/wiki/Q655675,2013,vidrio recogido,kg,93152
Belmonte de Tajo,https://www.wikidata.org/wiki/Q1752454,2013,habitantes,número,1591
Belmonte de Tajo,https://www.wikidata.org/wiki/Q1752454,2013,contenedores,unidades,11
Belmonte de Tajo,https://www.wikidata.org/wiki/Q1752454,2013,vidrio recogido,kg,18850
El Berrueco,https://www.wikidata.org/wiki/Q645201,2013,habitantes,número,633
El Berrueco,https://www.wikidata.org/wiki/Q645201,2013,contenedores,unidades,6
El Berrueco,https://www.wikidata.org/wiki/Q645201,2013,vidrio recogido,kg,13534
Berzosa del Lozoya,https://www.wikidata.org/wiki/Q1772302,2013,habitantes,número,214
Berzosa del Lozoya,https://www.wikidata.org/wiki/Q1772302,2013,contenedores,unidades,5
Berzosa del Lozoya,https://www.wikidata.org/wiki/Q1772302,2013,vidrio recogido,kg,4860
Boadilla del Monte,https://www.wikidata.org/wiki/Q1641013,2013,habitantes,número,47587
Boadilla del Monte,https://www.wikidata.org/wiki/Q1641013,2013,contenedores,unidades,103
Boadilla del Monte,https://www.wikidata.org/wiki/Q1641013,2013,vidrio recogido,kg,518971
El Boalo,https://www.wikidata.org/wiki/Q1772163,2013,habitantes,número,7050
El Boalo,https://www.wikidata.org/wiki/Q1772163,2013,contenedores,unidades,61
