res_tra_registro_tipo,res_tra_nif,res_tra_direccion_tipo_vial,res_tra_direccion_via_nombre,res_tra_direccion_via_num,res_tra_direccion_muni_desc,wikidata:res_tra_direccion_muni_desc,res_tra_residuo_ler_desc
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,A08057895,CALLE,BUENOS AIRES,10,Alcalá de Henares,https://www.wikidata.org/wiki/Q46940,RESIDUOS PROCEDENTES DE LA CLASIFICACIÓN DE PAPEL Y CARTÓN DESTINADOS AL RECICLADO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,A08332975,CALLE,DE SANTA LEONOR,39,Madrid,https://www.wikidata.org/wiki/Q2807,LODOS Y RESIDUOS DE PERFORACIONES QUE CONTIENEN AGUA DULCE.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,A08332975,CALLE,DE SANTA LEONOR,39,Madrid,https://www.wikidata.org/wiki/Q2807,LODOS DE LAVADO Y LIMPIEZA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,A08332975,CALLE,DE SANTA LEONOR,39,Madrid,https://www.wikidata.org/wiki/Q2807,LODOS DEL TRATAMIENTO IN SITU DE EFLUENTES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,A08332975,CALLE,DE SANTA LEONOR,39,Madrid,https://www.wikidata.org/wiki/Q2807,LODOS DEL TRATAMIENTO IN SITU DE EFLUENTES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,A08332975,CALLE,DE SANTA LEONOR,39,Madrid,https://www.wikidata.org/wiki/Q2807,LODOS DEL TRATAMIENTO IN SITU DE EFLUENTES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,A08332975,CALLE,DE SANTA LEONOR,39,Madrid,https://www.wikidata.org/wiki/Q2807,"LODOS DE LAVADO, LIMPIEZA, PELADO, CENTRIFUGADO Y SEPARACIÓN."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,A08332975,CALLE,DE SANTA LEONOR,39,Madrid,https://www.wikidata.org/wiki/Q2807,LODOS DE LAVADO Y LIMPIEZA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,A08332975,CALLE,DE SANTA LEONOR,39,Madrid,https://www.wikidata.org/wiki/Q2807,LODOS DEL TRATAMIENTO IN SITU DE EFLUENTES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,A08332975,CALLE,DE SANTA LEONOR,39,Madrid,https://www.wikidata.org/wiki/Q2807,OTROS LODOS Y TORTAS DE FILTRACIÓN.
