res_tra_registro_tipo,res_tra_razon_social,res_tra_nif,res_tra_direccion_tipo_vial,res_tra_direccion_via_nombre,res_tra_direccion_muni_desc,res_tra_direccion_cod_postal,res_tra_residuo_ler_desc
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"LOGITERS LOGISTICA, S.A.",A08057895,CALLE,BUENOS AIRES,Alcalá de Henares,28806,RESIDUOS PROCEDENTES DE LA CLASIFICACIÓN DE PAPEL Y CARTÓN DESTINADOS AL RECICLADO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA S.A.U.,A08332975,CALLE,DE SANTA LEONOR,Madrid,28037,LODOS Y RESIDUOS DE PERFORACIONES QUE CONTIENEN AGUA DULCE.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"SERVICIOS ESPECIALES DE LIMPIEZA, S.A.",A08350621,CALLE,DE FEDERICO SALMÓN,Madrid,28016,RESIDUOS AGROQUÍMICOS QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TALHER, S.A.",A08602815,AVDA,MANOTERAS,Madrid,28050,RESIDUOS DE TEJIDOS DE VEGETALES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES BONILLA, S.A.",A08643389,CTRA,"AJALVIR A TORREJON, KM.",Ajalvir,28864,"EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS DESECHADOS DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 20 01 21, 20 01 23 Y 20 01 35."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TECNOLOGIAS DEL MEDIO AMBIENTE, S.A.",A08948143,RONDA,DE PONIENTE,Tres Cantos,28760,PLÁSTICO.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"ALFONSO BENITEZ, S.A.",A11604238,CALLE,DE FEDERICO SALMÓN,Madrid,28016,RESIDUOS DE TÓNER DE IMPRESIÓN QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"FERNANDO BUIL, S.A.",A19001353,AVDA,DE LA INDUSTRIA,Coslada,28823,ESCORIAS DE LA PRODUCCIÓN PRIMARIA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CERANOR, S.A.",A24200065,CALLE,DEL GENERAL ARRANDO,Madrid,28010,LODOS DEL TRATAMIENTO IN SITU DE EFLUENTES DISTINDOS DE LOS ESPECIFICADOS EN EL CÓDIGO 03 03 10.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FCC AQUALIA, S.A.",A26019992,CALLE,DE FEDERICO SALMÓN,Madrid,28016,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
