LibraryAdministration,LibraryCode,ID,Library,Address,ZIPcode,Town,wikidata:Town,Province,wikidata:Province,Telephone,Email
Biblioteca Pública Municipal de Abengibre,54,02008092665,BIBLIOTECA PÚBLICA MUNICIPAL DE ABENGIBRE,"Castilla-La Mancha, 5",2250,Abengibre,https://www.wikidata.org/wiki/Q559227,Albacete Province,https://www.wikidata.org/wiki/Q54889,967090665,biblioabengibre@hotmail.com
Biblioteca Pública Municipal de Alatoz,55,02009142666,BIBLIOTECA PÚBLICA MUNICIPAL DE ALATOZ,"Cuesta de Enmedio, s/n",2152,Alatoz,https://www.wikidata.org/wiki/Q559211,Albacete Province,https://www.wikidata.org/wiki/Q54889,967402222,biblioalatoz@yahoo.es
Red de Bibliotecas Municipales de Albacete,60,02009721206,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Federico García Lorca, 20",2001,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967248790,poligono.bibliotecas@ayto-albacete.es
"Sección del Libro, Archivos y Bibliotecas. Central de bibliobús.",53,02008377042,BIBLIOBÚS DE ALBACETE,"Avda. de la Estación, 2",2001,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967596413,bibliobusab@jccm.es
Red de Bibliotecas Municipales de Albacete,752,02009721204,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Ciudad Real, 22",2002,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967512706,parquesur.bibliotecas@ayto-albacete.es
Biblioteca Pública del Estado en Albacete,99,02001982621,BIBLIOTECA PÚBLICA DEL ESTADO EN ALBACETE,"San José de Calasanz, 14",2002,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967558490,bp.albacete@jccm.es
Red de Bibliotecas Municipales de Albacete,751,02009726473,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Marzo, 50",2002,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967195400,red.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,62,02009721207,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Hermanos Falco, 20",2002,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967248990,hospital.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,69,02009721213,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Paseo de Simón Abril, s/n",2003,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967221559,parque.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,61,02009721200,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Arquitecto Vandelvira, 73",2004,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967503523,ensanche.bibliotecas@ayto-albacete.es
