Datos;Nombre Unidad Administrativa;Código Biblioteca;Nidem biblioteca;Nombre biblioteca;Dirección;Código postal;Municipio;Provincia;Teléfono;Correo electrónico;Tipo de servicio
2019;Biblioteca Pública Municipal de Abengibre;54;0200809-2665;BIBLIOTECA PÚBLICA MUNICIPAL DE ABENGIBRE;Castilla-La Mancha, 5;2250;Abengibre;Albacete;967090665;biblioabengibre@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Alatoz;55;0200914-2666;BIBLIOTECA PÚBLICA MUNICIPAL DE ALATOZ;Cuesta de Enmedio, s/n;2152;Alatoz;Albacete;967402222;biblioalatoz@yahoo.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Municipales de Albacete;60;0200972-1206;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Federico García Lorca, 20;2001;Albacete;Albacete;967248790;poligono.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Sección del Libro, Archivos y Bibliotecas. Central de bibliobús.;53;0200837-7042;BIBLIOBÚS DE ALBACETE;Avda. de la Estación, 2;2001;Albacete;Albacete;967596413;bibliobusab@jccm.es;Biblioteca Móvil
2019;Red de Bibliotecas Municipales de Albacete;752;0200972-1204;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Ciudad Real, 22;2002;Albacete;Albacete;967512706;parquesur.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Biblioteca Pública del Estado en Albacete;99;0200198-2621;BIBLIOTECA PÚBLICA DEL ESTADO EN ALBACETE;San José de Calasanz, 14;2002;Albacete;Albacete;967558490;bp.albacete@jccm.es;Biblioteca Pública del Estado
2019;Red de Bibliotecas Municipales de Albacete;751;0200972-6473;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Marzo, 50;2002;Albacete;Albacete;967195400;red.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Municipales de Albacete;62;0200972-1207;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Hermanos Falco, 20;2002;Albacete;Albacete;967248990;hospital.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Red de Bibliotecas Municipales de Albacete;69;0200972-1213;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Paseo de Simón Abril, s/n;2003;Albacete;Albacete;967221559;parque.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Municipales de Albacete;61;0200972-1200;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Arquitecto Vandelvira, 73;2004;Albacete;Albacete;967503523;ensanche.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Red de Bibliotecas Municipales de Albacete;68;0200972-1210;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Magallanes, 14;2005;Albacete;Albacete;967248774;industria.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Red de Bibliotecas Municipales de Albacete;888;0200972-1211;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Teruel, 13;2005;Albacete;Albacete;967224388;elpilar.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Red de Bibliotecas Municipales de Albacete;67;0200972-1209;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;José de Espronceda, s/n;2006;Albacete;Albacete;967248640;hnosfalco.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
