DISTRITO;EDIFICIO;UBICACION;COORDENADA Y;COORDENADA X;TERMINALES;CONECTORES;POTENCIA;CODIGO
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG07-10a
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG07-10b
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG07-10c
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG07-10d
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG07-10e
Arganzuela;building;street;latitude;longitude;2;Mennekes;7.3 KW  32 A mono;PRM-AG08-04a
Arganzuela;building;street;latitude;longitude;2;Mennekes;7.3 KW  32 A mono;PRM-AG08-04b
Arganzuela;building;street;latitude;longitude;2;Mennekes;7.3 KW  32 A mono;PRM-AG08-04c
Arganzuela;building;street;latitude;longitude;2;Mennekes;7.3 KW  32 A mono;PRM-AG08-04d
Arganzuela;building;street;latitude;longitude;2;Mennekes;7.3 KW  32 A mono;PRM-AG08-04e
Arganzuela;building;street;latitude;longitude;2;Mennekes;7.3 KW  32 A mono;PRM-AG08-04f
Arganzuela;building;street;latitude;longitude;2;Mennekes;7.3 KW  32 A mono;PRM-AG08-04g
Arganzuela;building;street;latitude;longitude;2;Mennekes;7.3 KW  32 A mono;PRM-AG08-04h
Arganzuela;building;street;latitude;longitude;2;Mennekes;7.3 KW  32 A mono;PRM-AG08-04i
Arganzuela;building;street;latitude;longitude;2;Mennekes;7.3 KW  32 A mono;PRM-AG08-05
Arganzuela;building;street;latitude;longitude;1;Mennekes;32 A trifásico 22 Kw;PRM-AG08-04j
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-02b
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-02a
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-03a
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-03b
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-03c
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-03d
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-01a
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-01b
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-01c
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-01d
Arganzuela;building;street;latitude;longitude;1;Mennekes;7.3 KW  32 A mono;PRM-AG08-01e
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;32 A monofásico;PRM-AG08-
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;32 A monofásico;PRM-AG08-
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;32 A monofásico;PRM-AG08-
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;32 A monofásico;PRM-AG08-
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;32 A monofásico;PRM-AG08-
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;32 A monofásico;PRM-AG08-
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;32 A monofásico;PRM-AG08-
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;32 A monofásico;PRM-AG08-
Arganzuela;building;street;latitude;longitude;1;Mennekes;3.7 KW Plug T2 monofásico;PRM-AG01-10a
Arganzuela;building;street;latitude;longitude;1;Mennekes;3.7 KW Plug T2 monofásico;PRM-AG01-10b
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;3.7 kW;PRM-AG01-01a
Arganzuela;building;street;latitude;longitude;1;Mennekes;3.7 kW;PRM-AG01-01b
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;3.7 kW;PRM-AG01-01b
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;3.7 kW;PRM-AG01-01c
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;3.7 kW;PRM-AG01-01d
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;3.7 kW;PRM-AG01-01e
Arganzuela;building;street;latitude;longitude;1;Mennekes manguera;3.7 kW;PRM-AG01-01f
Arganzuela;building;street;latitude;longitude;1;mennekes Hembra;32 A trifásico;PRM-AG01-01b
Arganzuela;building;street;latitude;longitude;1;Mennekes;3.7;PRM-AG05-03d
Arganzuela;building;street;latitude;longitude;1;Mennekes;3.7;PRM-AG05-03b
Arganzuela;building;street;latitude;longitude;1;Mennekes conector hembra sin manguera;22 kW;PRM-AG05-03c
Arganzuela;building;street;latitude;longitude;1;Mennekes;3.7 kW;PRM-AG01-02a
Arganzuela;building;street;latitude;longitude;1;Mennekes;3.7 kW;PRM-AG01-02b
Arganzuela;building;street;latitude;longitude;1;Mennekes;3.7 kW;PRM-AG01-02c
