"DISTRITO","EDIFICIO","UBICACIÓN","COORDENADA Y","COORDENADA X","TERMINALES","CONECTORES","POTENCIA","CÓDIGO","AÑO INSTALACIÓN","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Desarrollo Urbano Sostenible / OA Agencia de Actividades","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG07-10a","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Desarrollo Urbano Sostenible / OA Agencia de Actividades","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG07-10b","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Desarrollo Urbano Sostenible / OA Agencia de Actividades","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG07-10c","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Desarrollo Urbano Sostenible / OA Agencia de Actividades","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG07-10d","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Desarrollo Urbano Sostenible / OA Agencia de Actividades","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG07-10e","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","2","Mennekes","7,3 KW  32 A mono","PRM-AG08-04a","2018","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","2","Mennekes","7,3 KW  32 A mono","PRM-AG08-04b","2018","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","2","Mennekes","7,3 KW  32 A mono","PRM-AG08-04c","2018","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","2","Mennekes","7,3 KW  32 A mono","PRM-AG08-04d","2018","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","2","Mennekes","7,3 KW  32 A mono","PRM-AG08-04e","2018","","","","","","","","","","","","","","","",""
