COD_VIA,VIA_CLASE,VIA_PAR,VIA_NOMBRE,VIA_NOMBRE_ACENTOS,DISTRITO
84900,PASAJE,,A,A,10
84900,CALLE,DE,AVILES,AVILÉS,10
31001337,AUTOVÍA,,A-1,A-1,16
31001336,AUTOVÍA,,A-2,A-2,4
31001336,AUTOVÍA,,A-2,A-2,5
31001336,AUTOVÍA,,A-2,A-2,15
31001336,AUTOVÍA,,A-2,A-2,15
31001336,AUTOVÍA,,A-2,A-2,16
31001336,AUTOVÍA,,A-2,A-2,16
31001336,AUTOVÍA,,A-2,A-2,20
31001336,AUTOVÍA,,A-2,A-2,20
31001336,AUTOVÍA,,A-2,A-2,20
31001336,AUTOVÍA,,A-2,A-2,20
31001336,AUTOVÍA,,A-2,A-2,21
31001336,AUTOVÍA,,A-2,A-2,21
31001342,AUTOVÍA,,A-3,A-3,3
31001342,AUTOVÍA,,A-3,A-3,13
31001342,AUTOVÍA,,A-3,A-3,13
31001342,AUTOVÍA,,A-3,A-3,13
31001342,AUTOVÍA,,A-3,A-3,14
31001342,AUTOVÍA,,A-3,A-3,18
31001342,AUTOVÍA,,A-3,A-3,18
31001342,AUTOVÍA,,A-3,A-3,19
31001334,AUTOVÍA,,A-4,A-4,13
31001334,AUTOVÍA,,A-4,A-4,17
31001341,AUTOVÍA,,A-42,A-42,2
31001341,AUTOVÍA,,A-42,A-42,2
31001341,AUTOVÍA,,A-42,A-42,11
31001341,AUTOVÍA,,A-42,A-42,11
31001341,AUTOVÍA,,A-42,A-42,11
31001341,AUTOVÍA,,A-42,A-42,12
31001341,AUTOVÍA,,A-42,A-42,12
31001341,AUTOVÍA,,A-42,A-42,12
31001341,AUTOVÍA,,A-42,A-42,17
31001340,AUTOVÍA,,A-5,A-5,9
31001340,AUTOVÍA,,A-5,A-5,10
31001340,AUTOVÍA,,A-5,A-5,10
31001340,AUTOVÍA,,A-5,A-5,10
31001340,AUTOVÍA,,A-5,A-5,10
31001340,AUTOVÍA,,A-5,A-5,10
31001340,AUTOVÍA,,A-5,A-5,10
31001339,AUTOVÍA,,A-6,A-6,9
31001339,AUTOVÍA,,A-6,A-6,9
31001339,AUTOVÍA,,A-6,A-6,9
31001339,AUTOVÍA,,A-6,A-6,9
31001339,AUTOVÍA,,A-6,A-6,9
31000210,CALLE,DEL,ABAD JUAN CATALAN,ABAD JUAN CATALÁN,19
200,CALLE,DE LA,ABADA,ABADA,1
200,CALLE,DE LA,ABADA,ABADA,21
300,CALLE,DE LOS,ABADES,ABADES,1
400,CALLE,DE LA,ABADESA,ABADESA,6
600,CALLE,DE,ABALOS,ÁBALOS,15
31001576,CARRETERA,,ABANDONADA,ABANDONADA,8
700,CALLE,DEL,ABANICO,ABANICO,20
800,CALLE,DE,ABANTOS,ABANTOS,5
900,CALLE,DEL,ABARDERO,ABARDERO,8
1000,CALLE,DE,ABARZUZA,ABÁRZUZA,16
1100,CALLE,DE,ABAY,ABAY,17
1150,CALLE,DE,ABDON TERRADAS,ABDÓN TERRADAS,7
1200,CALLE,DEL,ABEDUL,ABEDUL,5
1300,CALLE,DE,ABEGONDO,ABEGONDO,16
1301,CALLE,DEL,ABEJARUCO,ABEJARUCO,9
1400,CALLE,DE LA,ABEJUELA,ABEJUELA,10
1500,CALLE,DE,ABEL,ABEL,6
2665,CALLE,DE LAS,ABELIAS,ABELIAS,16
1600,CALLE,DE,ABELLA,ABELLA,11
1800,CALLE,DE,ABERTURA,ABERTURA,16
2318,CALLE,DEL,ABETAL,ABETAL,8
1900,CALLE,DEL,ABETO,ABETO,9
2100,CALLE,DE,ABIZANDA,ABIZANDA,16
2300,CALLE,DEL,ABOLENGO,ABOLENGO,11
2400,AVENIDA,DE,ABRANTES,ABRANTES,11
2400,AVENIDA,DE,ABRANTES,ABRANTES,11
2500,CALLE,DE,ABRIL,ABRIL,20
2600,CALLE,DE,ABTAO,ABTAO,3
2600,CALLE,DE,ABTAO,ABTAO,3
2725,RONDA,DE LA,ABUBILLA,ABUBILLA,16
31000683,CALLE,DE,ABUNDIO GARCIA ROMAN,ABUNDIO GARCÍA ROMÁN,11
