District,wikidata DistrictOfMadrid,Neighbourhood,wikidata NeighbourhoodOfMadrid,Place,PlaceURI,ACCIONA,Taxify,KOKO,UFO,RIDECONGA,FLASH,LIME,WIND,BIRD,REBY RIDES,MOVO,MYGO,JUMP UBER,SJV CONSULTING
Centro,https://www.wikidata.org/wiki/Q1763376,Palacio,https://www.wikidata.org/wiki/Q2136510,CENTRO PALACIO,CENTROPALACIO,4,4,4,4,4,4,4,4,2,4,4,4,4,4
Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,CENTRO EMBAJADORES,CENTROEMBAJADORES,5,5,5,5,5,5,5,5,0,5,5,5,5,5
Centro,https://www.wikidata.org/wiki/Q1763376,Cortes,https://www.wikidata.org/wiki/Q2535637,CENTRO CORTES,CENTROCORTES,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Centro,https://www.wikidata.org/wiki/Q1763376,Justicia,https://www.wikidata.org/wiki/Q1992319,CENTRO JUSTICIA,CENTROJUSTICIA,3,3,3,3,3,3,3,3,0,3,3,2,3,3
Centro,https://www.wikidata.org/wiki/Q1763376,Universidad,https://www.wikidata.org/wiki/Q10387767,CENTRO UNIVERSIDAD,CENTROUNIVERSIDAD,5,5,5,5,5,5,5,5,0,5,5,0,5,5
Centro,https://www.wikidata.org/wiki/Q1763376,Sol,https://www.wikidata.org/wiki/Q2465181,CENTRO SOL,CENTROSOL,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Arganzuela,https://www.wikidata.org/wiki/Q2000929,Imperial,https://www.wikidata.org/wiki/Q3773740,ARGANZUELA IMPERIAL,ARGANZUELAIMPERIAL,0,3,3,3,3,3,3,3,0,0,1,0,3,3
Arganzuela,https://www.wikidata.org/wiki/Q2000929,Las Acacias,https://www.wikidata.org/wiki/Q3319190,ARGANZUELA LAS ACACIAS,ARGANZUELALASACACIAS,4,4,4,4,4,4,4,4,0,4,4,4,4,4
Arganzuela,https://www.wikidata.org/wiki/Q2000929,La Chopera,https://www.wikidata.org/wiki/Q3773750,ARGANZUELA LA CHOPERA,ARGANZUELALACHOPERA,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Arganzuela,https://www.wikidata.org/wiki/Q2000929,Legazpi,https://www.wikidata.org/wiki/Q3773990,ARGANZUELA LEGAZPI,ARGANZUELALEGAZPI,0,3,3,3,3,3,3,3,3,3,3,3,3,3
Arganzuela,https://www.wikidata.org/wiki/Q2000929,Las Delicias (Madrid),https://www.wikidata.org/wiki/Q3773736,ARGANZUELA LAS DELICIAS,ARGANZUELALASDELICIAS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
