Nombre_distrito,Nº_Distrito,NOMBRE_ESPECIE,Unidades,URIDISTRITO,URIESPECIE
CENTRO,01,Ligustrum japonicum 'variegata',300,CENTRO,LigustrumJVariegata
CENTRO,01,Robinia pseudoacacia,320,CENTRO,RobiniaP
CENTRO,01,Prunus cerasifera subsp. Pissartii,348,CENTRO,PrunusCPissartii
CENTRO,01,Ulmus pumila,367,CENTRO,UlmusP
CENTRO,01,Aesculus hippocastanum,510,CENTRO,AesculusH
CENTRO,01,Platanus x hybrida,1367,CENTRO,PlatanusX
CENTRO,01,Sophora japonica,1585,CENTRO,SophoraJ
CENTRO,01,Ligustrum japonicum,2646,CENTRO,LigustrumJ
ARGANZUELA,02,Prunus cerasifera pisardii,717,ARGANZUELA,PrunusC
ARGANZUELA,02,Melia azedarach,1047,ARGANZUELA,MeliaA
ARGANZUELA,02,Acer negundo,1205,ARGANZUELA,AcerN
ARGANZUELA,02,Robinia pseudoacacia,1275,ARGANZUELA,RobiniaP
ARGANZUELA,02,Ligustrum japonicum,1284,ARGANZUELA,LigustrumJ
ARGANZUELA,02,Ulmus pumila,1298,ARGANZUELA,UlmusP
ARGANZUELA,02,Pinus pinea,1371,ARGANZUELA,PinusP
ARGANZUELA,02,Celtis australis,1434,ARGANZUELA,CeltisA
ARGANZUELA,02,Sophora japonica,2414,ARGANZUELA,SophoraJ
ARGANZUELA,02,Platanus x hybrida,3428,ARGANZUELA,PlatanusX
RETIRO,03,Prunus cerasifera subsp. Pissartii,299,RETIRO,PrunusCPissartii
RETIRO,03,Aesculus hippocastanum,303,RETIRO,AesculusH
RETIRO,03,Liquidambar styraciflua,328,RETIRO,LiquidambarS
RETIRO,03,Cupressus arizonica,344,RETIRO,CupressusA
RETIRO,03,Cupressus sempervirens,418,RETIRO,CupressusS
RETIRO,03,Celtis australis,432,RETIRO,CeltisA
RETIRO,03,Cupressocyparis leilandii,455,RETIRO,CupressocyparisL
RETIRO,03,Robinia pseudoacacia,487,RETIRO,RobiniaP
RETIRO,03,Pinus pinea,892,RETIRO,PinusP
RETIRO,03,Ligustrum japonicum,981,RETIRO,LigustrumJ
RETIRO,03,Ulmus pumila,1948,RETIRO,UlmusP
RETIRO,03,Sophora japonica,2297,RETIRO,SophoraJ
RETIRO,03,Platanus x hybrida,2585,RETIRO,PlatanusX
SALAMANCA,04,Populus alba 'bolleana',361,SALAMANCA,PopulusABolleana
SALAMANCA,04,Acer negundo,404,SALAMANCA,AcerN
SALAMANCA,04,Prunus cerasifera pisardii,545,SALAMANCA,PrunusC
SALAMANCA,04,Robinia pseudoacacia,581,SALAMANCA,RobiniaP
SALAMANCA,04,Aesculus hippocastanum,667,SALAMANCA,AesculusH
SALAMANCA,04,Ulmus pumila,912,SALAMANCA,UlmusP
SALAMANCA,04,Pinus pinea,928,SALAMANCA,PinusP
SALAMANCA,04,Ligustrum japonicum,1854,SALAMANCA,LigustrumJ
SALAMANCA,04,Platanus x hybrida,2497,SALAMANCA,PlatanusX
SALAMANCA,04,Sophora japonica,5921,SALAMANCA,SophoraJ
CHAMARTÍN,05,Populus alba 'bolleana',598,CHAMARTÍN,PopulusABolleana
CHAMARTÍN,05,Aesculus hippocastanum,645,CHAMARTÍN,AesculusH
CHAMARTÍN,05,Melia azedarach,722,CHAMARTÍN,MeliaA
CHAMARTÍN,05,Ligustrum japonicum,938,CHAMARTÍN,LigustrumJ
CHAMARTÍN,05,Prunus cerasifera pisardii,971,CHAMARTÍN,PrunusC
CHAMARTÍN,05,Celtis australis,1146,CHAMARTÍN,CeltisA
CHAMARTÍN,05,Robinia pseudoacacia,1164,CHAMARTÍN,RobiniaP
CHAMARTÍN,05,Pinus pinea,1344,CHAMARTÍN,PinusP
CHAMARTÍN,05,Ulmus pumila,2611,CHAMARTÍN,UlmusP
CHAMARTÍN,05,Sophora japonica,3744,CHAMARTÍN,SophoraJ
CHAMARTÍN,05,Platanus x hybrida,6080,CHAMARTÍN,PlatanusX
TETUÁN,06,Cupressus sempervirens,423,TETUAN,CupressusS
TETUÁN,06,Celtis australis,455,TETUAN,CeltisA
TETUÁN,06,Aesculus hippocastanum,466,TETUAN,AesculusH
