municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro;2020/07/01 09:00:00;28;23,47;1691;1417,23;079603
Madrid-Salamanca;2020/07/01 09:00:00;23;15,74;1781;1218,99;079604
Madrid-Centro;2020/07/01 09:00:00;18;13,35;1282;950,7;079601
Madrid-Arganzuela;2020/07/01 09:00:00;16;10,4;1769;1150,17;079602
Madrid-Chamartín;2020/07/01 09:00:00;12;8,23;1800;1234,15;079605
Madrid-Tetuán;2020/07/01 09:00:00;11;6,96;2233;1413,09;079606
Madrid-Chamberí;2020/07/01 09:00:00;23;16,5;1739;1247,68;079607
Madrid-Fuencarral-El Pardo;2020/07/01 09:00:00;27;10,98;3290;1337,73;079608
Madrid-Moncloa-Aravaca;2020/07/01 09:00:00;25;20,93;1568;1313,02;079609
Madrid-Latina;2020/07/01 09:00:00;49;20,57;3080;1292,93;079610
Madrid-Carabanchel;2020/07/01 09:00:00;30;11,85;2957;1168,32;079611
Madrid-Usera;2020/07/01 09:00:00;23;16,46;1505;1076,99;079612
Madrid-Puente de Vallecas;2020/07/01 09:00:00;53;22,57;3348;1425,55;079613
Madrid-San Blas - Canillejas;2020/07/01 09:00:00;13;8,22;1584;1001,63;079620
Madrid-Barajas;2020/07/01 09:00:00;8;16,34;464;948;079621
Madrid-Moratalaz;2020/07/01 09:00:00;18;19,03;1517;1604,1;079614
Madrid-Ciudad Lineal;2020/07/01 09:00:00;37;17,11;2431;1123,99;079615
Madrid-Hortaleza;2020/07/01 09:00:00;10;5,31;1885;1001,66;079616
Madrid-Villaverde;2020/07/01 09:00:00;34;22,83;1588;1066,16;079617
Madrid-Villa de Vallecas;2020/07/01 09:00:00;16;14,5;1318;1194,22;079618
Madrid-Vicálvaro;2020/07/01 09:00:00;22;30,52;929;1288,65;079619
Pozuelo de Alarcón;2020/07/01 09:00:00;;5,79;859;993,96;1150
Alcorcón;2020/07/01 09:00:00;15;8,8;1960;1149,47;0072
Navalcarnero;2020/07/01 09:00:00;;0;223;761,14;0967
San Agustín del Guadalix;2020/07/01 09:00:00;;0;84;627,85;1296
Las Rozas de Madrid;2020/07/01 09:00:00;10;10,44;870;908,01;1277
Moraleja de Enmedio;2020/07/01 09:00:00;;0;29;564,64;0894
Valdaracete;2020/07/01 09:00:00;;0;7;1149,43;1551
Pozuelo del Rey;2020/07/01 09:00:00;;87,18;;348,74;1163
Puebla de la Sierra;2020/07/01 09:00:00;;0;;0;1185
Perales de Tajuña;2020/07/01 09:00:00;;34,07;12;408,86;1104
Valdemorillo;2020/07/01 09:00:00;;0;52;415,4;1603
Navalafuente;2020/07/01 09:00:00;;0;8;552,1;0941
Velilla de San Antonio;2020/07/01 09:00:00;;8,17;78;637,46;1678
Villanueva de la Cañada;2020/07/01 09:00:00;;4,66;174;811,38;1760
Villanueva del Pardillo;2020/07/01 09:00:00;;5,82;114;663,56;1776
Nuevo Baztán;2020/07/01 09:00:00;;0;33;525,81;1006
Villamantilla;2020/07/01 09:00:00;;0;8;555,17;1757
Villamanta;2020/07/01 09:00:00;;0;18;704,5;1744
Cabanillas de la Sierra;2020/07/01 09:00:00;;0;10;1322,75;0297
Cenicientos;2020/07/01 09:00:00;;49,19;38;1869,16;0376
Puentes Viejas;2020/07/01 09:00:00;;0;;294,55;9020
Aranjuez;2020/07/01 09:00:00;;3,36;479;803,6;0133
Cercedilla;2020/07/01 09:00:00;;14,23;125;1779,11;0382
Santorcaz;2020/07/01 09:00:00;;0;7;790,07;1369
Coslada;2020/07/01 09:00:00;6;7,35;872;1067,83;0493
Morata de Tajuña;2020/07/01 09:00:00;;0;112;1457,76;0915
Robregordo;2020/07/01 09:00:00;;0;;0;1261
Navarredonda y San Mamés;2020/07/01 09:00:00;;0;;775,19;0973
Venturada;2020/07/01 09:00:00;;0;;138,7;1697
Navacerrada;2020/07/01 09:00:00;;0;19;639,3;0936
Montejo de la Sierra;2020/07/01 09:00:00;;0;;283,29;0881
Fresno de Torote;2020/07/01 09:00:00;;0;14;630,35;0571
Pinilla del Valle;2020/07/01 09:00:00;;0;;0;1126
Valdemaqueda;2020/07/01 09:00:00;;0;;640,2;1599
Navas del Rey;2020/07/01 09:00:00;;34,27;83;2844,41;0992
Olmeda de las Fuentes;2020/07/01 09:00:00;;287,36;;1149,43;1013
Bustarviejo;2020/07/01 09:00:00;;0;11;439,47;0284
Becerril de la Sierra;2020/07/01 09:00:00;;0;35;612,53;0186
Fuenlabrada;2020/07/01 09:00:00;31;16;1718;886,94;0587
Garganta de los Montes;2020/07/01 09:00:00;;0;;288,18;0626
Pinto;2020/07/01 09:00:00;8;15,23;361;687,28;1132
Alameda del Valle;2020/07/01 09:00:00;;0;;0;0035
Berzosa del Lozoya;2020/07/01 09:00:00;;0;;975,61;0203
Los Santos de la Humosa;2020/07/01 09:00:00;;0;21;810,81;1375
El Álamo;2020/07/01 09:00:00;;21,12;110;1161,56;0040
Pelayos de la Presa;2020/07/01 09:00:00;;0;20;770,42;1090
Galapagar;2020/07/01 09:00:00;;8,89;299;886,14;0611
Griñón;2020/07/01 09:00:00;;9,69;114;1104,76;0663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/07/01 09:00:00;;0;;949,37;0632
Aldea del Fresno;2020/07/01 09:00:00;;0;62;2184,64;0088
Carabaña;2020/07/01 09:00:00;;0;14;696,52;0357
Talamanca de Jarama;2020/07/01 09:00:00;;0;66;1711,17;1454
Chapinería;2020/07/01 09:00:00;;0;8;343,64;0513
Ciempozuelos;2020/07/01 09:00:00;;0;278;1130,45;0409
Ajalvir;2020/07/01 09:00:00;;21,22;36;764,01;0029
San Lorenzo de El Escorial;2020/07/01 09:00:00;;5,44;150;816,59;1317
Gascones;2020/07/01 09:00:00;;0;;0;0647
San Martín de la Vega;2020/07/01 09:00:00;;10,43;107;558,16;1322
Móstoles;2020/07/01 09:00:00;25;11,95;2335;1116,24;0920
Leganés;2020/07/01 09:00:00;61;32,13;3403;1792,36;0745
Braojos;2020/07/01 09:00:00;;0;;975,61;0246
Cubas de la Sagra;2020/07/01 09:00:00;;0;36;561,36;0506
Algete;2020/07/01 09:00:00;;0;136;659,84;0091
Mejorada del Campo;2020/07/01 09:00:00;;0;192;824,95;0843
Loeches;2020/07/01 09:00:00;;0;52;591,51;0758
Parla;2020/07/01 09:00:00;10;7,68;835;641,7;1065
Fuentidueña de Tajo;2020/07/01 09:00:00;;48,71;20;974,18;0604
Ambite;2020/07/01 09:00:00;;0;7;1182,43;0112
Torremocha de Jarama;2020/07/01 09:00:00;;0;16;1570,17;1533
Anchuelo;2020/07/01 09:00:00;;78,68;9;708,1;0127
Los Molinos;2020/07/01 09:00:00;;22,78;56;1275,92;0875
Soto del Real;2020/07/01 09:00:00;;0;77;875,1;1441
Valverde de Alcalá;2020/07/01 09:00:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;2020/07/01 09:00:00;;29,87;42;627,24;0590
Horcajo de la Sierra-Aoslos;2020/07/01 09:00:00;;0;;2758,62;0702
Valdeolmos-Alalpardo;2020/07/01 09:00:00;;0;11;265,96;1625
Campo Real;2020/07/01 09:00:00;;16,1;32;515,3;0339
Valdeavero;2020/07/01 09:00:00;;0;10;643,5;1564
Villamanrique de Tajo;2020/07/01 09:00:00;;0;;568,99;1739
Cobeña;2020/07/01 09:00:00;;13,46;89;1198,17;0416
Fresnedillas de la Oliva;2020/07/01 09:00:00;;0;9;572,52;0565
Valdilecha;2020/07/01 09:00:00;;0;21;715,99;1659
El Berrueco;2020/07/01 09:00:00;;526,32;12;1578,95;0210
Pezuela de las Torres;2020/07/01 09:00:00;;0;;237,53;1111
Villar del Olmo;2020/07/01 09:00:00;;0;7;348,09;1795
Guadarrama;2020/07/01 09:00:00;;0;237;1478,29;0685
San Martín de Valdeiglesias;2020/07/01 09:00:00;;0;101;1193,99;1338
Torrelodones;2020/07/01 09:00:00;;4,22;362;1526,33;1527
Boadilla del Monte;2020/07/01 09:00:00;;5,5;400;733;0225
Torrejón de Velasco;2020/07/01 09:00:00;;22,82;24;547,7;1505
Villanueva de Perales;2020/07/01 09:00:00;;0;;319,9;1782
