ESTACION_ID,NOMBRE,DISTRITO_ID,DISTRITO_LINK,WIKIDATA_DISTRITO_ID,DIRECCION,DIRECCION_ID,DIRECCION_LINK,WIKIDATA_DIRECCION_ID,LONGITUD,LATITUD
28079004,Pza. de España,0,Argüelles,https://www.wikidata.org/wiki/Q64874,Plaza de España,0,plaza de España,https://www.wikidata.org/wiki/Q1326261,"3°42'43.91""O","40°25'25.98""N"
28079008,Escuelas Aguirre,1,Salamanca,https://www.wikidata.org/wiki/Q1773521,Entre C/ Alcalá y C/ O’ Donell,1,Calle de Alcalá,https://www.wikidata.org/wiki/Q2424746,"3°40'56.22""O","40°25'17.63""N"
28079011,Avda. Ramón y Cajal,2,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,2,"Avenida de Ramón y Cajal, Madrid",https://www.wikidata.org/wiki/Q30467128,"3°40'38.50""O","40°27'5.29""N"
28079016,Arturo Soria,3,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,C/ Arturo Soria  esq. C/  Vizconde de los Asilos,3,calle de Arturo Soria,https://www.wikidata.org/wiki/Q8255504,"3°38'21.17""O","40°26'24.20""N"
28079017,Villaverde,4,Villaverde,https://www.wikidata.org/wiki/Q919536,C/. Juan Peñalver,4,Calle Juan Peñalver,,"3°42'47.89""O","40°20'49.74""N"
28079018,Farolillo,5,Carabanchel,https://www.wikidata.org/wiki/Q1001991,Calle Farolillo - C/Ervigio,5,Calle Farolillo,,"3°43'54.61""O","40°23'41.22""N"
28079024,Casa de Campo,6,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Casa de Campo  (Terminal del Teleférico),6,Casa de Campo,https://www.wikidata.org/wiki/Q1046524,"3°44'50.44""O","40°25'9.69""N"
28079027,Barajas Pueblo,7,Barajas,https://www.wikidata.org/wiki/Q807230,"C/. Júpiter, 21 (Barajas)",7,Calle Júpiter,,"3°34'48.10""O","40°28'36.93""N"
28079035,Pza. del Carmen,8,Centro,https://www.wikidata.org/wiki/Q1763376,Plaza del Carmen esq. Tres Cruces.,8,Plaza del Carmen,https://www.wikidata.org/wiki/Q6080406,"3°42'11.40""O","40°25'9.15""N"
28079036,Moratalaz,9,Moratalaz,https://www.wikidata.org/wiki/Q2076109,Avd. Moratalaz  esq. Camino de los Vinateros,9,Avenida Moratalaz,,"3°38'43.02""O","40°24'28.64""N"
28079038,Cuatro Caminos,10,Tetuán,https://www.wikidata.org/wiki/Q1773540,Avda. Pablo Iglesias esq. C/ Marqués de Lema,10,avenida de Pablo Iglesias,https://www.wikidata.org/wiki/Q28045035,"3°42'25.64""O","40°26'43.97""N"
28079039,Barrio del Pilar,2,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Avd. Betanzos esq. C/  Monforte de Lemos,11,Avenida Betanzos,,"3°42'41.53""O","40°28'41.64""N"
28079040,Vallecas,12,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,C/ Arroyo del Olivar  esq. C/  Río Grande.,12,"Calle del Arroyo del Olivar, Madrid",https://www.wikidata.org/wiki/Q29561517,"3°39'5.50""O","40°23'17.33""N"
28079047,Mendez Alvaro,13,Arganzuela,https://www.wikidata.org/wiki/Q2000929,C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro,13,Calle Juan de Mariana,,"3°41'12.57""O","40°23'53.17""N"
28079048,Castellana,14,Chamartín,https://www.wikidata.org/wiki/Q1766348,C/ Jose Gutierrez Abascal,14,Calle Jose Gutierrez Abascal,,"3°41'25.34""O","40°26'23.61""N"
28079049,Parque del Retiro,15,Retiro,https://www.wikidata.org/wiki/Q2002296,Paseo Venezuela- Casa de Vacas,15,Buen Retiro park,https://www.wikidata.org/wiki/Q1131807,3º 40' 57''O,40º 24' 52''N
28079050,Plaza Castilla,10,Tetuán,https://www.wikidata.org/wiki/Q1773540,Plaza Castilla (Canal),16,plaza de Castilla,https://www.wikidata.org/wiki/Q786291,"3°41'19.48""O","40°27'56.10""N"
28079054,Ensanche de Vallecas,17,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Avda La Gavia / Avda. Las Suertes,17,Avenida La Gavia,,"3°36'43.70""O","40°22'22.84""N"
28079055,Urb. Embajada,7,Barajas,https://www.wikidata.org/wiki/Q807230,C/ Riaño (Barajas),18,Calle Riaño,,"3°34'50.03""O","40°27'44.51""N"
28079056,Pza. Elíptica,5,Carabanchel,https://www.wikidata.org/wiki/Q1001991,Pza. Elíptica - Avda. Oporto,19,Plaza Elíptica,https://www.wikidata.org/wiki/Q16619985,"3°43'7.54""O","40°23'6.10""N"
28079057,Sanchinarro,20,Hortaleza,https://www.wikidata.org/wiki/Q1928529,C/ Princesa de Eboli esq C/ Maria Tudor,20,Calle Princesa de Éboli,,"3°39'37.86""O","40°29'39.12""N"
28079058,El Pardo,2,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Avda. La Guardia,21,Avenida La Guardia,,"3°46'28.62""O","40°31'4.97""N"
28079059,Juan Carlos I,7,Barajas,https://www.wikidata.org/wiki/Q807230,Parque Juan Carlos I (frente oficinas mantenimiento),22,parque Juan Carlos I,https://www.wikidata.org/wiki/Q24023451,"3º 36' 33""O",40º 27' 55''N
28079060,Tres Olivos,2,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Plaza Tres Olivos,23,Plaza Tres Olivos,,"3°41'23.03""O","40°30'1.97""N"
