ESTACION_ID,NOMBRE,DIRECCION,LONGITUD,LATITUD
28079004,Pza. de España,Plaza de España,"3°42'43.91""O","40°25'25.98""N"
28079008,Escuelas Aguirre,Entre C/ Alcalá y C/ O’ Donell,"3°40'56.22""O","40°25'17.63""N"
28079011,Avda. Ramón y Cajal,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,"3°40'38.50""O","40°27'5.29""N"
28079016,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos,"3°38'21.17""O","40°26'24.20""N"
28079017,Villaverde,C/. Juan Peñalver,"3°42'47.89""O","40°20'49.74""N"
28079018,Farolillo,Calle Farolillo - C/Ervigio,"3°43'54.61""O","40°23'41.22""N"
28079024,Casa de Campo,Casa de Campo  (Terminal del Teleférico),"3°44'50.44""O","40°25'9.69""N"
28079027,Barajas Pueblo,"C/. Júpiter, 21 (Barajas)","3°34'48.10""O","40°28'36.93""N"
28079035,Pza. del Carmen,Plaza del Carmen esq. Tres Cruces.,"3°42'11.40""O","40°25'9.15""N"
28079036,Moratalaz,Avd. Moratalaz  esq. Camino de los Vinateros,"3°38'43.02""O","40°24'28.64""N"
28079038,Cuatro Caminos,Avda. Pablo Iglesias esq. C/ Marqués de Lema,"3°42'25.64""O","40°26'43.97""N"
28079039,Barrio del Pilar,Avd. Betanzos esq. C/  Monforte de Lemos,"3°42'41.53""O","40°28'41.64""N"
28079040,Vallecas,C/ Arroyo del Olivar  esq. C/  Río Grande.,"3°39'5.50""O","40°23'17.33""N"
28079047,Mendez Alvaro,C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro,"3°41'12.57""O","40°23'53.17""N"
28079048,Castellana,C/ Jose Gutierrez Abascal,"3°41'25.34""O","40°26'23.61""N"
28079049,Parque del Retiro,Paseo Venezuela- Casa de Vacas,3º 40' 57''O,40º 24' 52''N
28079050,Plaza Castilla,Plaza Castilla (Canal),"3°41'19.48""O","40°27'56.10""N"
28079054,Ensanche de Vallecas,Avda La Gavia / Avda. Las Suertes,"3°36'43.70""O","40°22'22.84""N"
28079055,Urb. Embajada,C/ Riaño (Barajas),"3°34'50.03""O","40°27'44.51""N"
28079056,Pza. Elíptica,Pza. Elíptica - Avda. Oporto,"3°43'7.54""O","40°23'6.10""N"
28079057,Sanchinarro,C/ Princesa de Eboli esq C/ Maria Tudor,"3°39'37.86""O","40°29'39.12""N"
28079058,El Pardo,Avda. La Guardia,"3°46'28.62""O","40°31'4.97""N"
28079059,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),"3º 36' 33""O",40º 27' 55''N
28079060,Tres Olivos,Plaza Tres Olivos,"3°41'23.03""O","40°30'1.97""N"
