MAGNITUD,NOTACION,NOMBRE,NAME,WIKIDATA_ID,RESUMEN
1,SO2,Dióxido de Azufre,sulfur dioxide,https://www.wikidata.org/wiki/Q5282,
6,CO,Monóxido de Carbono,carbon monoxide,https://www.wikidata.org/wiki/Q2025,
7,NO,Monóxido de Nitrógeno,nitric oxide (radical),https://www.wikidata.org/wiki/Q207843,
8,NO2,Dióxido de Nitrógeno,nitrogen dioxide,https://www.wikidata.org/wiki/Q207895,
9,PM2.5,Partículas <2.5 μm,particulates,https://www.wikidata.org/wiki/Q498957,
10,PM10,Partículas <10 μm,particulates,https://www.wikidata.org/wiki/Q498957,
12,NOx,Óxidos de Nitrógeno,nitrogen oxide,https://www.wikidata.org/wiki/Q424418,
14,O3,Ozono,ozone,https://www.wikidata.org/wiki/Q36933,
20,TOL,Tolueno,toluene,https://www.wikidata.org/wiki/Q15779,
30,BEN,Benceno,benzene,https://www.wikidata.org/wiki/Q2270,
35,EBE,Etilbenceno,ethylbenzene,https://www.wikidata.org/wiki/Q409184,
42,TCH,Hidrocarburos totales (hexano),hexane,https://www.wikidata.org/wiki/Q150440,
43,CH4,Metano,methane,https://www.wikidata.org/wiki/Q37129,
44,NMHC,Hidrocarburosno metánicos (hexano),non-methane volatile organic compound,https://www.wikidata.org/wiki/Q16963326,
