bs_id,position_x,position_y,district_name,district_name's URI,district_number,neighbourhood_name,neighbourhood_name's URI,neighbourhood_number,street_name,address,spots,longitude,latitude
001 a,440443.61,4474290.65,Centro ,http://dbpedia.org/resource/Centro,1,Sol ,http://dbpedia.org/resource/Sol,1-06,Calle De Alcala,"Calle De Alcala,2",30,-3.701998,40.4171107
001 b,440480.56,4474301.74,Centro ,http://dbpedia.org/resource/Centro,1,Sol ,http://dbpedia.org/resource/Sol,1-06,Calle De Alcala,"Calle De Alcala,6",30,-3.7015636,40.4172132
002,440134.83,4474678.23,Centro ,http://dbpedia.org/resource/Centro,1,Ciudad Universitaria ,http://dbpedia.org/resource/Ciudad_Universitaria,1-05,Calle De Miguel Moya,"Calle De Miguel Moya,1",24,-3.7056739,40.42058
003,440012.98,4475760.68,Chamberi ,http://dbpedia.org/resource/Chamberi,7,Arapiles ,http://dbpedia.org/resource/Arapiles,7-02,Plaza Del Conde Del Valle De Suchil,"Plaza Del Conde Del Valle De Suchil,2",18,-3.7072122,40.4303224
004,440396.4,4475565.36,Centro ,http://dbpedia.org/resource/Centro,1,Ciudad Universitaria ,http://dbpedia.org/resource/Ciudad_Universitaria,1-05,Calle De Manuela Malasana,"Calle De Manuela Malasana,3",24,-3.7026739,40.4285905
005,440447.06,4475539.6,Centro ,http://dbpedia.org/resource/Centro,1,Recoletos ,http://dbpedia.org/resource/Recoletos,1-04,Calle De Fuencarral,"Calle De Fuencarral,106",27,-3.7020743,40.428362
006,440754.26,4475071.08,Centro ,http://dbpedia.org/resource/Centro,1,Recoletos ,http://dbpedia.org/resource/Recoletos,1-04,Calle De Hortaleza,"Calle De Hortaleza,63",24,-3.6984093,40.4241633
007,440811.97,4475187.49,Centro ,http://dbpedia.org/resource/Centro,1,Recoletos ,http://dbpedia.org/resource/Recoletos,1-04,Calle De Hortaleza,"Calle De Hortaleza,75",21,-3.6977399,40.4252161
008,441020.56,4475463.16,Chamberi ,http://dbpedia.org/resource/Chamberi,7,Almagro ,http://dbpedia.org/resource/Almagro,7-04,Plaza De Alonso Martinez,"Plaza De Alonso Martinez,6",24,-3.6953067,40.4277143
009,439813.51,4474129.47,Centro ,http://dbpedia.org/resource/Centro,1,Palacio Real ,http://dbpedia.org/resource/Royal_Palace_of_Madrid,1-01,Plaza De San Miguel,"Plaza De San Miguel,9",24,-3.7094093,40.4156134
010,441292.12,4475204.43,Centro ,http://dbpedia.org/resource/Centro,1,Recoletos ,http://dbpedia.org/resource/Recoletos,1-04,Calle Del Marques De La Ensenada,"Calle Del Marques De La Ensenada,16",24,-3.6920816,40.4254027
011,440314.86,4475395.19,Centro ,http://dbpedia.org/resource/Centro,1,Ciudad Universitaria ,http://dbpedia.org/resource/Ciudad_Universitaria,1-05,Calle De San Andres,"Calle De San Andres,20",24,-3.7036192,40.4270517
012,440095.53,4475560.73,Centro ,http://dbpedia.org/resource/Centro,1,Ciudad Universitaria ,http://dbpedia.org/resource/Ciudad_Universitaria,1-05,Calle De San Bernardo,"Calle De San Bernardo,87",24,-3.7062202,40.4285271
013,439733.78,4475434.65,Centro ,http://dbpedia.org/resource/Centro,1,Ciudad Universitaria ,http://dbpedia.org/resource/Ciudad_Universitaria,1-05,Calle Del Conde Duque,"Calle Del Conde Duque,22",24,-3.7104727,40.4273652
014,439486.2,4475284.13,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Arguelles ,http://dbpedia.org/resource/Arguelles,9-02,Calle De Ventura Rodriguez,"Calle De Ventura Rodriguez,1",24,-3.7133768,40.4259913
015,439996.77,4475313.59,Centro ,http://dbpedia.org/resource/Centro,1,Ciudad Universitaria ,http://dbpedia.org/resource/Ciudad_Universitaria,1-05,Calle Del Norte,"Calle Del Norte,10",21,-3.7073611,40.4262937
016,439982.39,4474941.66,Centro ,http://dbpedia.org/resource/Centro,1,Ciudad Universitaria ,http://dbpedia.org/resource/Ciudad_Universitaria,1-05,Calle De San Bernardo,"Calle De San Bernardo,22",21,-3.7074955,40.4229421
017,440263.35,4474964.43,Centro ,http://dbpedia.org/resource/Centro,1,Ciudad Universitaria ,http://dbpedia.org/resource/Ciudad_Universitaria,1-05,Plaza De Carlos Cambronero,"Plaza De Carlos Cambronero,2",24,-3.7041859,40.4231675
018,440653.13,4474711.92,Centro ,http://dbpedia.org/resource/Centro,1,Recoletos ,http://dbpedia.org/resource/Recoletos,1-04,Plaza De Pedro Zerolo,"Plaza De Pedro Zerolo,1",24,-3.6995679,40.4209206
019,441007.98,4474817.8,Centro ,http://dbpedia.org/resource/Centro,1,Recoletos ,http://dbpedia.org/resource/Recoletos,1-04,Calle De Prim,"Calle De Prim,4",24,-3.6953951,40.4218997
020,441021.37,4474517.89,Centro ,http://dbpedia.org/resource/Centro,1,Recoletos ,http://dbpedia.org/resource/Recoletos,1-04,Calle De Alcala,"Calle De Alcala,49",24,-3.6952095,40.4191989
020 ampliacion,441014.52,4474516.49,Centro ,http://dbpedia.org/resource/Centro,1,Recoletos ,http://dbpedia.org/resource/Recoletos,1-04,Calle De Alcala,"Calle De Alcala,49",6,-3.6952901,40.4191858
022,440064.4,4474630.53,Centro ,http://dbpedia.org/resource/Centro,1,Sol ,http://dbpedia.org/resource/Sol,1-06,Calle De Jacometrezo,"Calle De Jacometrezo,1",24,-3.7064995,40.4201452
023,439912.56,4474639.35,Centro ,http://dbpedia.org/resource/Centro,1,Palacio Real ,http://dbpedia.org/resource/Royal_Palace_of_Madrid,1-01,Plaza De Santo Domingo,"Plaza De Santo Domingo,s/n",24,-3.7082901,40.4202137
024,439715.67,4474384.75,Centro ,http://dbpedia.org/resource/Centro,1,Palacio Real ,http://dbpedia.org/resource/Royal_Palace_of_Madrid,1-01,Calle De Carlos Iii,"Calle De Carlos Iii,1",24,-3.7105866,40.417906
025 a,440104.48,4474318.99,Centro ,http://dbpedia.org/resource/Centro,1,Sol ,http://dbpedia.org/resource/Sol,1-06,Plaza Del Celenque,"Plaza Del Celenque,1",24,-3.7059978,40.4173416
025 b,440102.16,4474309.87,Centro ,http://dbpedia.org/resource/Centro,1,Sol ,http://dbpedia.org/resource/Sol,1-06,Plaza Del Celenque,"Plaza Del Celenque,1",24,-3.7060243,40.4172593
026,441082.03,4475031.58,Centro ,http://dbpedia.org/resource/Centro,1,Recoletos ,http://dbpedia.org/resource/Recoletos,1-04,Plaza De Las Salesas,"Plaza De Las Salesas,8",24,-3.6945421,40.4238308
027,440984.74,4473861.49,Centro ,http://dbpedia.org/resource/Centro,1,Gran Via ,http://dbpedia.org/resource/Gran_Via,1-03,Calle De Jesus,"Calle De Jesus,frente 6",27,-3.6955803,40.4132831
028,440752.57,4474394.64,Centro ,http://dbpedia.org/resource/Centro,1,Gran Via ,http://dbpedia.org/resource/Gran_Via,1-03,Calle De Alcala,"Calle De Alcala,26",24,-3.6983662,40.4180695
029,440968.62,4474190.29,Centro ,http://dbpedia.org/resource/Centro,1,Gran Via ,http://dbpedia.org/resource/Gran_Via,1-03,Calle Del Marques De Cubas,"Calle Del Marques De Cubas,25",24,-3.6958008,40.416244
030,439635.83,4474544.08,Centro ,http://dbpedia.org/resource/Centro,1,Palacio Real ,http://dbpedia.org/resource/Royal_Palace_of_Madrid,1-01,Calle De Pavia,"Calle De Pavia,6",27,-3.7115428,40.4193355
031,440050.38,4474208.74,Centro ,http://dbpedia.org/resource/Centro,1,Sol ,http://dbpedia.org/resource/Sol,1-06,Calle   Mayor,"Calle   Mayor,18",27,-3.706625,40.4163446
032,440090.59,4474042.64,Centro ,http://dbpedia.org/resource/Centro,1,Sol ,http://dbpedia.org/resource/Sol,1-06,Plaza De La Provincia,"Plaza De La Provincia,1",18,-3.7061355,40.4148511
033,440340.26,4474220.99,Centro ,http://dbpedia.org/resource/Centro,1,Sol ,http://dbpedia.org/resource/Sol,1-06,Calle De Las Carretas,"Calle De Las Carretas,3",21,-3.7032096,40.4164757
034,440313.43,4473992.08,Centro ,http://dbpedia.org/resource/Centro,1,Gran Via ,http://dbpedia.org/resource/Gran_Via,1-03,Plaza De Jacinto Benavente,"Plaza De Jacinto Benavente,s/n",24,-3.7035044,40.4144117
035,439730.93,4473970.93,Centro ,http://dbpedia.org/resource/Centro,1,Palacio Real ,http://dbpedia.org/resource/Royal_Palace_of_Madrid,1-01,Plaza Del Cordon,"Plaza Del Cordon,1",24,-3.7103676,40.4141792
036,439614.82,4474265.33,Centro ,http://dbpedia.org/resource/Centro,1,Palacio Real ,http://dbpedia.org/resource/Royal_Palace_of_Madrid,1-01,Plaza De Ramales,"Plaza De Ramales,5",24,-3.711764,40.4168229
037,439409.3,4473605.14,Centro ,http://dbpedia.org/resource/Centro,1,Palacio Real ,http://dbpedia.org/resource/Royal_Palace_of_Madrid,1-01,Plaza De San Francisco,"Plaza De San Francisco,5",24,-3.7141234,40.4108606
038,439637,4473651.64,Centro ,http://dbpedia.org/resource/Centro,1,Palacio Real ,http://dbpedia.org/resource/Royal_Palace_of_Madrid,1-01,Carrera De San Francisco,"Carrera De San Francisco,1",24,-3.7114443,40.4112961
039,439844,4473646.66,Centro ,http://dbpedia.org/resource/Centro,1,Palacio Real ,http://dbpedia.org/resource/Royal_Palace_of_Madrid,1-01,Plaza De La Cebada,"Plaza De La Cebada,16",27,-3.7090043,40.4112662
040,440207.51,4473923.52,Centro ,http://dbpedia.org/resource/Centro,1,Embajadores ,http://dbpedia.org/resource/Embajadores,1-02,Calle Del Conde De Romanones,"Calle Del Conde De Romanones,2",24,-3.7047463,40.4137865
041,440694.54,4473746.65,Centro ,http://dbpedia.org/resource/Centro,1,Embajadores ,http://dbpedia.org/resource/Embajadores,1-02,Calle De Atocha,"Calle De Atocha,56",18,-3.6989898,40.412228
042,440757.78,4473584.46,Centro ,http://dbpedia.org/resource/Centro,1,Embajadores ,http://dbpedia.org/resource/Embajadores,1-02,Calle De Santa Isabel,"Calle De Santa Isabel,32",24,-3.6982294,40.4107714
043,440391.04,4473511.6,Centro ,http://dbpedia.org/resource/Centro,1,Embajadores ,http://dbpedia.org/resource/Embajadores,1-02,Calle De Lavapies,"Calle De Lavapies,36",24,-3.7025446,40.4100889
044,440274.63,4473482.26,Centro ,http://dbpedia.org/resource/Centro,1,Embajadores ,http://dbpedia.org/resource/Embajadores,1-02,Calle Del Meson De Paredes,"Calle Del Meson De Paredes,35",21,-3.7039138,40.4098162
045,439659.1,4473168.86,Centro ,http://dbpedia.org/resource/Centro,1,Embajadores ,http://dbpedia.org/resource/Embajadores,1-02,Glorieta De La Puerta De Toledo,"Glorieta De La Puerta De Toledo,1",21,-3.7111381,40.4069486
046,439998.9,4472999.74,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Acacias ,http://dbpedia.org/resource/Acacias,2-02,Calle De La Ribera De Curtidores,"Calle De La Ribera De Curtidores,28",24,-3.7071178,40.4054496
047,440368.37,4472905.07,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Acacias ,http://dbpedia.org/resource/Acacias,2-02,Glorieta De Embajadores,"Glorieta De Embajadores,7 B",24,-3.702755,40.4046233
048,440424.7,4472996.09,Centro ,http://dbpedia.org/resource/Centro,1,Embajadores ,http://dbpedia.org/resource/Embajadores,1-02,Glorieta De Embajadores,"Glorieta De Embajadores,2",24,-3.7020997,40.4054473
