dc:identifier,dc:modified,ayto:PuntoMuestreo,ayto:Fecha,ayto:Olor,ayto:Sabor,ayto:Turbidez,ayto:Color,ayto:Conductividad,ayto:pH,ayto:Amonio,ayto:Nitritos,ayto:Oxidabilidad,ayto:CloroLibre,ayto:Al,ayto:Fe,ayto:Cu,ayto:Cr,ayto:Ni,ayto:Pb,ayto:BacteriasColiformes,ayto:eColi,ayto:BacteriasAerobias,ayto:ClostridiumPerfringes,uri
N4-13-000022,2020-09-26T22:16:11.377Z,MURIEDAS,2013-01-02,0.00000,0.00000,0.08000," < 5",555.00000,7.72000,0.00000,0.00000,0.50000,0.84000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000022.csv
N4-13-000018,2020-09-26T22:16:11.377Z,"CUETO\, ESTACIÓN DE MUESTREO Nº 6",2013-01-02,0.00000,0.00000,0.09000," < 5",501.00000,7.86000,0.00000,0.00000,0.60000,0.52000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000018.csv
N4-13-000016,2020-09-26T22:16:11.377Z,"Bº PESQUERO\, ESTACIÓN DE MUESTREO Nº 5",2013-01-02,0.00000,0.00000,0.11000," < 5",526.00000,7.90000,0.00000,0.00000,0.50000,0.51000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000016.csv
N4-13-000008,2020-09-26T22:16:11.377Z,ETAP LLEGADA,2013-01-02,0.00000,0.00000,0.58000,5,559.00000,7.81000,0.00000,0.00000,0.70000,0.00000,52,,,,,,530,240.00000,920.00000,23.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000008.csv
N4-13-000014,2020-09-26T22:16:11.377Z,SALIDA PLANTA SANTANDER,2013-01-02,0.00000,0.00000,0.05000," < 5",553.00000,7.68000,0.00000,0.00000,0.00000,0.90000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000014.csv
N4-13-000024,2020-09-26T22:16:11.377Z,GRIFO VIRTUAL,2013-01-02,0.00000,0.00000,0.70000," < 5",539.00000,7.87000,0.00000,0.00000,0.60000,0.46000,,150,"0\,005",2,"1\,73",10,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000024.csv
N4-13-000013,2020-09-26T22:16:11.377Z,SALIDA DE LA ETAP,2013-01-02,0.00000,0.00000,0.08000," < 5",555.00000,7.72000,0.00000,0.00000,0.50000,0.84000,13,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000013.csv
N4-13-000015,2020-09-26T22:16:11.377Z,FUENTE FRENTE CORMORÁN,2013-01-02,0.00000,0.00000,0.13000," < 5",528.00000,8.01000,0.00000,0.00000,0.60000,0.50000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000015.csv
N4-13-000001,2020-09-26T22:16:11.377Z,ETAP LLEGADA,2013-01-01,0.00000,0.00000,0.37000,5,533.00000,7.83000,0.00000,0.00000,0.60000,0.00000,26,,,,,,290,60.00000,60.00000,3.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000001.csv
N4-13-000007,2020-09-26T22:16:11.377Z,SALIDA PLANTA SANTANDER,2013-01-01,0.00000,0.00000,0.06000," < 5",540.00000,7.72000,0.00000,0.00000,0.00000,0.80000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000007.csv
N4-13-000006,2020-09-26T22:16:11.377Z,SALIDA DE LA ETAP,2013-01-01,0.00000,0.00000,0.01000," < 5",539.00000,7.76000,0.00000,0.00000,0.40000,0.90000,10,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000006.csv
N4-13-000091,2020-09-26T22:16:11.376Z,CUETO GRIFO CEMENTERIO,2013-01-08,0.00000,0.00000,0.21000," < 5",429.00000,7.76000,0.00000,0.00000,0.60000,0.32000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000091.csv
N4-13-000088,2020-09-26T22:16:11.376Z,MONTE,2013-01-08,0.00000,0.00000,0.17000," < 5",406.00000,7.72000,0.00000,0.00000,0.50000,0.69000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000088.csv
N4-13-000092,2020-09-26T22:16:11.376Z,SAN ROMÁN-VIRGEN DEL MAR,2013-01-08,0.00000,0.00000,0.24000," < 5",417.00000,8.54000,0.00000,0.00000,0.60000,0.09000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000092.csv
N4-13-000072,2020-09-26T22:16:11.376Z,ETAP LLEGADA,2013-01-07,0.00000,0.00000,0.45000,5,404.00000,7.90000,0.00000,0.00000,0.70000,0.00000,66,,,,,,260,100.00000,90.00000,4.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000072.csv
N4-13-000078,2020-09-26T22:16:11.376Z,SALIDA PLANTA SANTANDER,2013-01-07,0.00000,0.00000,0.15000," < 5",405.00000,7.69000,0.00000,0.00000,0.00000,1.01000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000078.csv
N4-13-000077,2020-09-26T22:16:11.376Z,SALIDA DE LA ETAP,2013-01-07,0.00000,0.00000,0.19000," < 5",404.00000,7.71000,0.00000,0.00000,0.40000,0.85000,48,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000077.csv
N4-13-000065,2020-09-26T22:16:11.376Z,ETAP LLEGADA,2013-01-06,0.00000,0.00000,0.50000,5,399.00000,7.88000,0.00000,0.00000,1.00000,0.00000,44,,,,,,160,100.00000,180.00000,2.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000065.csv
N4-13-000071,2020-09-26T22:16:11.376Z,SALIDA PLANTA SANTANDER,2013-01-06,0.00000,0.00000,0.19000," < 5",404.00000,7.66000,0.00000,0.00000,0.00000,1.11000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000071.csv
N4-13-000070,2020-09-26T22:16:11.376Z,SALIDA DE LA ETAP,2013-01-06,0.00000,0.00000,0.27000," < 5",403.00000,7.69000,0.00000,0.00000,0.50000,0.88000,15,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000070.csv
N4-13-000058,2020-09-26T22:16:11.376Z,ETAP LLEGADA,2013-01-05,0.00000,0.00000,0.52000,5,398.00000,7.89000,0.00000,0.00000,1.10000,0.00000,41,,,,,,260,140.00000,120.00000,3.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000058.csv
N4-13-000064,2020-09-26T22:16:11.376Z,SALIDA PLANTA SANTANDER,2013-01-05,0.00000,0.00000,0.29000," < 5",400.00000,7.66000,0.00000,0.00000,0.00000,0.85000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000064.csv
N4-13-000063,2020-09-26T22:16:11.376Z,SALIDA DE LA ETAP,2013-01-05,0.00000,0.00000,0.25000," < 5",401.00000,7.68000,0.00000,0.00000,0.60000,0.83000,23,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000063.csv
N4-13-000054,2020-09-26T22:16:11.376Z,"SAN ROMÁN\, ESTACIÓN DE MUESTREO Nº 1",2013-01-04,0.00000,0.00000,0.20000," < 5",523.00000,7.88000,0.00000,0.00000,0.60000,0.44000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000054.csv
N4-13-000055,2020-09-26T22:16:11.376Z,"PEÑACASTILLO\, ESTACIÓN DE MUESTREO Nº 3",2013-01-04,0.00000,0.00000,0.23000," < 5",520.00000,7.83000,0.00000,0.00000,0.70000,0.48000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000055.csv
N4-13-000053,2020-09-26T22:16:11.376Z,"CUETO\, ESTACIÓN DE MUESTREO Nº 6",2013-01-04,0.00000,0.00000,0.15000," < 5",543.00000,7.90000,0.00000,0.00000,0.60000,0.49000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000053.csv
N4-13-000051,2020-09-26T22:16:11.376Z,"Bº PESQUERO\, ESTACIÓN DE MUESTREO Nº 5",2013-01-04,0.00000,0.00000,0.23000," < 5",529.00000,7.92000,0.00000,0.00000,0.70000,0.47000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000051.csv
N4-13-000043,2020-09-26T22:16:11.376Z,ETAP LLEGADA,2013-01-04,0.00000,0.00000,0.69000,5,449.00000,7.59000,0.00000,0.00000,1.40000,0.00000,101,,,,,,520,260.00000,270.00000,7.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000043.csv
N4-13-000049,2020-09-26T22:16:11.376Z,SALIDA PLANTA SANTANDER,2013-01-04,0.00000,0.00000,0.34000," < 5",458.00000,7.69000,0.00000,0.00000,0.00000,1.02000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000049.csv
N4-13-000057,2020-09-26T22:16:11.376Z,GRIFO VIRTUAL,2013-01-04,0.00000,0.00000,0.26000," < 5",518.00000,7.87000,0.00000,0.00000,0.80000,0.48000,,21," < 0\,001",2,"1\,33"," < 1\,6",0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000057.csv
N4-13-000048,2020-09-26T22:16:11.376Z,SALIDA DE LA ETAP,2013-01-04,0.00000,0.00000,0.32000," < 5",464.00000,7.71000,0.00000,0.00000,0.70000,0.90000,43,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000048.csv
N4-13-000050,2020-09-26T22:16:11.376Z,FUENTE FRENTE CORMORÁN,2013-01-04,0.00000,0.00000,0.14000," < 5",539.00000,8.02000,0.00000,0.00000,0.60000,0.48000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000050.csv
N4-13-000052,2020-09-26T22:16:11.376Z,FUENTE PARQUE MARIA BLANCHARD,2013-01-04,0.00000,0.00000,0.24000," < 5",528.00000,7.79000,0.00000,0.00000,0.60000,0.45000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000052.csv
N4-13-000056,2020-09-26T22:16:11.376Z,SOTO DE LA MARINA,2013-01-04,0.00000,0.00000,0.31000," < 5",531.00000,7.88000,0.00000,0.00000,0.70000,0.43000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000056.csv
N4-13-000036,2020-09-26T22:16:11.376Z,"SAN ROMÁN\, ESTACIÓN DE MUESTREO Nº 1",2013-01-03,0.00000,0.00000,0.09000," < 5",558.00000,7.83000,0.00000,0.00000,0.60000,0.51000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000036.csv
N4-13-000033,2020-09-26T22:16:11.376Z,"PALACIO DE LA MAGDALENA\, ESTACIÓN DE MUESTREO Nº 2",2013-01-03,0.00000,0.00000,0.09000," < 5",556.00000,7.80000,0.00000,0.00000,0.60000,0.53000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000033.csv
