Nombre_distrito,NombreDistritoURI,Nº_Distrito,NOMBRE_ESPECIE,EspecieURI,Nº_Unidades
Centro,Centro,1,Ligustrum japonicum 'variegata',LigustrumJaponicumVariegata,300
Centro,Centro,1,Robinia pseudoacacia,RobiniaPseudoacacia,320
Centro,Centro,1,Prunus cerasifera subsp. Pissartii,PrunusCerasiferaSubsp.Pissartii,348
Centro,Centro,1,Ulmus pumila,UlmusPumila,367
Centro,Centro,1,Aesculus hippocastanum,AesculusHippocastanum,510
Centro,Centro,1,Platanus x hybrida,PlatanusXHybrida,1367
Centro,Centro,1,Sophora japonica,SophoraJaponica,1585
Centro,Centro,1,Ligustrum japonicum,LigustrumJaponicum,2646
Centro,Centro,1,Otros,Otros,3838
,,,Total,Total,11281
Arganzuela,Arganzuela,2,Prunus cerasifera pisardii,PrunusCerasiferaPisardii,717
Arganzuela,Arganzuela,2,Melia azedarach,MeliaAzedarach,1047
Arganzuela,Arganzuela,2,Acer negundo,AcerNegundo,1205
Arganzuela,Arganzuela,2,Robinia pseudoacacia,RobiniaPseudoacacia,1275
Arganzuela,Arganzuela,2,Ligustrum japonicum,LigustrumJaponicum,1284
Arganzuela,Arganzuela,2,Ulmus pumila,UlmusPumila,1298
Arganzuela,Arganzuela,2,Pinus pinea,PinusPinea,1371
Arganzuela,Arganzuela,2,Celtis australis,CeltisAustralis,1434
Arganzuela,Arganzuela,2,Sophora japonica,SophoraJaponica,2414
Arganzuela,Arganzuela,2,Platanus x hybrida,PlatanusXHybrida,3428
Arganzuela,Arganzuela,2,Otros,Otros,8213
,,,Total,Total,23686
Retiro,Retiro,3,Prunus cerasifera subsp. Pissartii,PrunusCerasiferaSubsp.Pissartii,299
Retiro,Retiro,3,Aesculus hippocastanum,AesculusHippocastanum,303
Retiro,Retiro,3,Liquidambar styraciflua,LiquidambarStyraciflua,328
Retiro,Retiro,3,Cupressus arizonica,CupressusArizonica,344
Retiro,Retiro,3,Cupressus sempervirens,CupressusSempervirens,418
Retiro,Retiro,3,Celtis australis,CeltisAustralis,432
Retiro,Retiro,3,Cupressocyparis leilandii,CupressocyparisLeilandii,455
Retiro,Retiro,3,Robinia pseudoacacia,RobiniaPseudoacacia,487
Retiro,Retiro,3,Pinus pinea,PinusPinea,892
Retiro,Retiro,3,Ligustrum japonicum,LigustrumJaponicum,981
Retiro,Retiro,3,Ulmus pumila,UlmusPumila,1948
Retiro,Retiro,3,Sophora japonica,SophoraJaponica,2297
Retiro,Retiro,3,Platanus x hybrida,PlatanusXHybrida,2585
Retiro,Retiro,3,Otros,Otros,3029
,,,Total,Total,14798
Salamanca,Salamanca,4,Populus alba 'bolleana',Populus albaBolleana,361
Salamanca,Salamanca,4,Acer negundo,AcerNegundo,404
Salamanca,Salamanca,4,Prunus cerasifera pisardii,PrunusCerasiferaPisardii,545
Salamanca,Salamanca,4,Robinia pseudoacacia,RobiniaPseudoacacia,581
Salamanca,Salamanca,4,Aesculus hippocastanum,AesculusHippocastanum,667
Salamanca,Salamanca,4,Ulmus pumila,UlmusPumila,912
Salamanca,Salamanca,4,Pinus pinea,PinusPinea,928
Salamanca,Salamanca,4,Ligustrum japonicum,LigustrumJaponicum,1854
Salamanca,Salamanca,4,Platanus x hybrida,PlatanusXHybrida,2497
Salamanca,Salamanca,4,Sophora japonica,SophoraJaponica,5921
Salamanca,Salamanca,4,Otros,Otros,5969
,,,Total,Total,20639
CHAMARTÍN,Chamartín,5,Populus alba 'bolleana',Populus albaBolleana,598
CHAMARTÍN,Chamartín,5,Aesculus hippocastanum,AesculusHippocastanum,645
CHAMARTÍN,Chamartín,5,Melia azedarach,MeliaAzedarach,722
CHAMARTÍN,Chamartín,5,Ligustrum japonicum,LigustrumJaponicum,938
CHAMARTÍN,Chamartín,5,Prunus cerasifera pisardii,PrunusCerasiferaPisardii,971
CHAMARTÍN,Chamartín,5,Celtis australis,CeltisAustralis,1146
CHAMARTÍN,Chamartín,5,Robinia pseudoacacia,RobiniaPseudoacacia,1164
CHAMARTÍN,Chamartín,5,Pinus pinea,PinusPinea,1344
CHAMARTÍN,Chamartín,5,Ulmus pumila,UlmusPumila,2611
CHAMARTÍN,Chamartín,5,Sophora japonica,SophoraJaponica,3744
CHAMARTÍN,Chamartín,5,Platanus x hybrida,PlatanusXHybrida,6080
CHAMARTÍN,Chamartín,5,Otros,Otros,6155
,,,Total,Total,26118
TETUÁN,Tetuán,6,Cupressus sempervirens,CupressusSempervirens,423
