DISTRITO;Total árboles;Altura media;Perímetro medio ;Recién plantado;Joven;Maduro;Viejo;Otros;;
CENTRO;6.214;8,47;68,57;120;2.059;3.787;152;96;;
ARGANZUELA;21.509;6,32;52,56;178;8.825;11.445;175;886;;
RETIRO;27.508;9,26;85,24;273;9.628;16.055;1.361;191;;
SALAMANCA;9.968;7,81;69,98;125;2.668;6.370;87;718;;
CHAMARTIN;12.408;8,41;70,35;105;3.241;8.219;49;794;;
TETUAN;12.313;6,23;50,38;566;4.464;7.016;29;238;;
CHAMBERI;2.536;8,68;67,74;15;645;1.687;121;68;;
FUENCARRAL-EL PARDO           ;71.724;7,54;54,48;2.699;28.573;32.715;1.161;6.574;;
MONCLOA-ARAVACA (Arbolado en masas forestales)              ;624.198;;;;;;;;;
MONCLOA-ARAVACA (Arbolado individual)          ;88.558;8,47;35,88;14.882;22.682;43.831;3.615;3.547;;
LATINA;58.446;7,31;64,87;987;11.057;43.833;448;2.121;;
CARABANCHEL;59.643;6,30;55,87;10.962;21.707;26.490;168;316;;
USERA;29.230;7,71;67,66;154;7.555;18.811;55;2.655;;
PUENTE DE VALLECAS;57.540;6,89;52,30;440;24.115;29.757;235;2.993;;
MORATALAZ;35.135;6,84;57,62;1.686;14.879;17.847;505;218;;
CIUDAD LINEAL;33.795;7,04;58,40;0;7.366;25.130;805;495;;;;
HORTALEZA;114.639;4,43;31,69;5.064;63.511;33.527;5.252;7.285;;;;
VILLAVERDE;57.918;5,99;49,89;2.417;35.222;19.896;157;226;;;;
VILLA DE VALLECAS;58.925;5,03;30,08;5.456;49.195;4.078;12;184;;;;
VICALVARO;30.187;5,87;47,58;4.589;16.527;8.863;53;155;;;;
SAN BLAS-CANILLEJAS;38.367;8,09;56,16;138;8.742;28.121;670;696;;;;
BARAJAS;28.619;6,21;45,19;477;4.453;21.705;1.067;917;;;;

;;;;;;;;;;;;
;;;;;;;;;;;;
