ID,PROVINCIA,MUNICIPIO,ESTACION,LUGAR_ESTACION,COMPUESTO_MEDIDO,TECNICA_DE_MEDICION,FECHA,VALOR,VALIDEZ
41382020101,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-01,9,true
41382020102,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-02,10,true
41382020103,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-03,9,true
41382020104,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-04,7,true
41382020105,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-05,8,true
41382020106,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-06,9,true
41382020107,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-07,12,true
41382020108,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-08,14,true
41382020109,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-09,11,true
41382020110,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-10,9,true
41382020111,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-11,8,true
41382020112,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-12,9,true
41382020113,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-13,8,true
41382020114,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-14,9,true
41382020115,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-15,10,true
41382020116,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-16,11,true
41382020117,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-17,9,true
41382020118,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-18,8,true
41382020119,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-19,6,true
41382020120,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-20,4,false
41382020121,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-21,0,false
41382020122,28,79,4,Pza. de España,Dióxido de Azufre,Fluorescencia ultravioleta,2020-1-22,0,false
