Distrito,Subepigrafe,Apartado,Numero_de_archivo,Naturaleza_del_inmueble,Situacion_Destino,Destino,Tamanio_Solar
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300,URBANA,CALLE DE BAILEN Nº 15,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,5025.42
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.001,URBANA,CALLE DE BAILEN Nº 6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADAUNA CASETA DE GUARDAS.,26814
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.002,URBANA,"CALLE DEL MESON DE PAREDES, Nº. 37 C/V CALLE DE AMPARO Nº 26",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2979.2
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.003,URBANA,CALLE MESON DE PAREDES Nº 68,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1637.34
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.004,URBANA,CALLE DE SEGOVIA Nº 12,DOTACIONAL SERVCIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO TOTALMENTE PARA JARDIN PUBLICO. PROYECTODEL BARRIO HISTORICO.,172.9
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.005,URBANA,"CALLE DE SEGOVIA, Nº 21-23 Y CALLE DE LA MORERÍA, Nº 28",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO TOTALMENTE POR LOS ACCESOS AL VIADUCTO.,5462.95
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.006,URBANA,"CALLE DE SEGOVIA, Nº27 C/V CUESTA DE LOS CIEGOS",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADA PARA ZONA VERDE. ACCESOS AL VIADUCTO.,1001.53
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.007,URBANA,CALLE DE SEGOVIA C/V CUESTA DE LA VEGA,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ANTIGUA ALAMEDA DE LA VIRGEN DEL PUERTO YJARDINES DE LA CUESTA DE LA VEGA. DENTRO DE SU PERIMETRO SE ENCUENTRAN UBICADOS UN EVACUATORIO, UNCANTON DE LIMPIEZAS, UNA CASETA DE PERSONAL DE JARDINERÍA Y UNA PISTA POLIVALENTE.",106811.18
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.008,URBANA,"CALLE DE SEGOVIA, Nº 31 Y 37 C/V CUESTA DE JAVALQUINTO",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ACCESOS AL VIADUCTO.,1999.63
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.009,URBANA,CALLE DE SEGOVIA Nº 35,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO PARA ZONA VERDE. ACCESOS AL VIADUCTO.,1374.79
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.01,URBANA,RONDA DE SEGOVIA Nº 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,654.66
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.011,URBANA,PLAZA DE GABRIEL MIRO,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN SU INTERIOR SE ENCUENTRA LA PISTA DEPORTIVA""GABRIEL MIRÓ"" (TAMBIÉN DENOMINADA ""LAS VISTILLAS""), SITUADA EN LA C/ GABRIEL MIRÓ C/V C/ BEATRIZGALINDO C/V C/ MORERÍA.",12346.82
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.012,URBANA,CUESTA DE LOS CIEGOS,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,77.08
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.013,URBANA,CALLE DE BEATRIZ GALINDO Nº 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,496.08
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.014,URBANA,CUESTA DE LOS CIEGOS Nº 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,776.35
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.015,URBANA,CUESTA DE LOS CIEGOS Nº 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,539
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.016,URBANA,CUESTA DE JAVALQUINTO Nº 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,745.85
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.017,URBANA,CUESTA DE JAVALQUINTO Nº 7,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,451.49
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.018,URBANA,CALLE DE LA MORERIA Nº 12,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1099.58
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.019,URBANA,CALLE DE LA MORERIA Nº 22,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,939.95
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.02,URBANA,CUESTA DE LOS CIEGOS C/V CALLE DE BEATRIZ GALINDO,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,471.75
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.021,URBANA,CALLE DE BARCELÓ,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN SU SUBSUELO SE CONSTRUYERON UNOSEVACUATORIOS.,13461.43
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.027,URBANA,CALLE DE FUENCARRAL Nº 43,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,710.4
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.022,URBANA,CALLE DE LA ALAMEDA Nº 12,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. CUBIERTA P.A.R.,463
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.023,URBANA,RONDA SEGOVIA Nº 57,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. FORMA PARTE DEL JARDÍN CATALOGADO ""JARDÍN EN C/ALGECIRAS"", CON PROTECCIÓN NIVEL 3.",2120
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.024,URBANA,RONDA SEGOVIA Nº 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,704.65
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.025,URBANA,CALLE DE JERTE Nº 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,395.35
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.026,URBANA,CALLE DEL MESÓN DE PAREDES Nº 63,DOTACIONAL SERVICIOS COLECTIVOS ZONA VERDE BÁSICO.,1128.38
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.028,URBANA,CALLE DE ALGECIRAS Nº 8,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. SOLAR QUE HA PASADO A ZONA VERDE. BAJA FINCA Nº73 DEL INVENTARIO DEL AYUNTAMIENTO DE MADRID.,372.3
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.029,URBANA,CALLE DE ALGECIRAS Nº 4-6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,920.5
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,300.03,URBANA,CALLE DEL ROSARIO C/V CALLE DE JERTE,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRAUBICADA LA PISTA DEPORTIVA PARQUE DE LA CORNISA (PISTA DE BALONCESTO, PISTA DE VÓLEY Y FUTBOLEY,PISTA DE BÁDMIN TON Y TENIS DE MESA), SITA EN CALLE DEL ROSARIO, NÚMERO 5.",14193.99
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,301.048,URBANA,AVENIDA DE LA GRAN VIA DE SAN FRANCISCO Nº 19-21,DOTACIONAL SERVICIO COLECTIVOS ZONAS VERDES BÁSICO.,3385.55
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,301.077,URBANA,CALLE DEL CASINO Nº 3 Y 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. (LA ZONA NORTE ESTÁ CALIFICADA DE VÍA PÚBLICASEGÚN PGOUM 97).,3098
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,301.216,URBANA,CALLE DE EMBAJADORES Nº 66 B,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRAINCLUIDA LA INSTALACIÓN DEPORTIVA BÁSICA PARQUE CASINO DE LA REINA (PISTA POLIDEPORTIVA Y PISTA DEBALONCESTO), SITA EN C/ EMBAJADORES, 66 C/V C/ CASINO, 3.",7343.75
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,301.253,URBANA,CALLE DEL SOMBRERETE Nº 15,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. PARCELA NO DADA DE ALTA EN PMS; PARCELAREGULARIZADA POR LA LA DIRECTORA GENERAL DE PATRIMONIO POR CERTIFICACIÓN DE 23 DE MARZO DE 2018,AGRUPACIÓN Y SEGREGACIÓN DE FINCAS.",207.21
CENTRO,ZONAS VERDES,PARQUES Y JARDINES,301.255,URBANA,PLAZA DEL GENERAL VARA DEL REY,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2379.34
ARGANZUELA,ZONAS VERDES,PARQUES Y JARDINES,300.032,URBANA,PASEO DE LAS YESERIAS,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. DENTRO DE SU PERIMETRO, PROXIMO AL PASEO DEYESERIAS, SE ENCUENTRA UBICADO UN EVACUATORIO. SE ENCUENTRAN IGUALMENTE UBICADAS DOS CASETAS DEJARDINEROS Y UN CAMPO DE FUTBOL.",108873.35
ARGANZUELA,ZONAS VERDES,PARQUES Y JARDINES,300.033,URBANA,PASEO DE LAS YESERIAS Nº 4,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR, INTEGRADO EN EL PARQUE DE LA ARGANZUELA.",853.1
ARGANZUELA,ZONAS VERDES,PARQUES Y JARDINES,300.034,URBANA,CALLE DEL CONCEJAL BENITO MARTÍN LOZANO Nº 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADA UNACASETA DE PERSONAL Y ALMACÉN DE HERRAMIENTAS.,9141.5
ARGANZUELA,ZONAS VERDES,PARQUES Y JARDINES,300.035,URBANA,CALLE DE SAN ISIDORO DE SEVILLA Nº 15 B,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,3013.5
ARGANZUELA,ZONAS VERDES,PARQUES Y JARDINES,300.036,URBANA,PASEO DE LAS YESERIAS Nº 43-49,CALIFICADO PARTE DE DOTACIONAL SERVICIOS COLECTIVOS VÍA PÚBLICA Y PARTE DE DOTACIONAL SERVICIOSCOLECTIVOS EQUIPAMIENTO BÁSICO SEGÚN PGOUM 97.,776.2
ARGANZUELA,ZONAS VERDES,PARQUES Y JARDINES,300.037,URBANA,CALLE DE CARMEN COBEÑA Nº 5 B,"PARCELA NO INVENTARIADA EN PMS, CUYO PERÍMETRO ESTÁ INCLUIDO EN ALINEACIÓN DE VOLUMETRÍA ESPECÍFICA,NORMA ZONA 3.2, SEGÚN PGOUM 97.",176.55
ARGANZUELA,ZONAS VERDES,PARQUES Y JARDINES,300.039,URBANA,CALLE DE EROS Nº 6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE HALLA UBICADA LA IDBEROS (PISTA DE FÚTBOL SALA).,6731
